"Date Last Researched","Country/Area","Project Name","Phase Name","Project Name in Local Language / Script","Other Name(s)","Capacity (MW)","Capacity Rating","Technology Type","Status","Start year","Retired year","Operator","Operator Name in Local Language / Script","Owner","Owner Name in Local Language / Script","Hydrogen","Latitude","Longitude","Location accuracy","City","Local area (taluk, county)","Major area (prefecture, district)","State/Province","Subregion","Region","GEM location ID","GEM phase ID","Other IDs (location)","Other IDs (unit/phase)","Wiki URL"
"2024/03/20","Spain","Abarloar solar farm","--","Planta fotovoltaica Abarloar Solar",NA,82.5,"MWac","PV","pre-construction",NA,NA,NA,NA,"Abarloar Solar SL",NA,NA,"40.4254","-3.1831","approximate","Pezuela de las Torres",NA,"Madrid","Comunidad de Madrid","Southern Europe","Europe","L100000824286","G100000827393",NA,NA,"https://www.gem.wiki/Abarloar_solar_farm"
"2024/01/26","Spain","Abedul 2 New Energy solar farm","--","Instalación fotovoltaica Abedul II",NA,51.6,"MWac","PV","pre-construction",NA,NA,"Progressum Energy Developments",NA,"Progressum Energy Developments",NA,NA,"41.6142","-0.7043","approximate",NA,"Zaragoza",NA,"Aragón","Southern Europe","Europe","L100000824287","G100000827394",NA,NA,"https://www.gem.wiki/Abedul_2_New_Energy_solar_farm"
"2021/08/09","Spain","Abertura solar farm","1",NA,NA,23,"unknown","PV","operating",2008,NA,"Iberdrola",NA,"LongSol",NA,NA,"39.2226","-5.7853","exact","Abertura","Miajadas","Cáceres","Extremadura","Southern Europe","Europe","L100000805860","G100000806742",NA,"WKSL: 1072895","https://www.gem.wiki/Abertura_solar_farm"
"2024/02/27","Spain","Abeto New Energy solar farm","--","Planta solar fotovoltaica Abeto New Energy",NA,75,"MWac","PV","pre-construction",NA,NA,NA,NA,"Abeto New Energy SLU",NA,NA,"42.4927","-1.6669","approximate","Olite",NA,"Navarra","Aragón","Southern Europe","Europe","L100001003309","G100001003790",NA,NA,"https://www.gem.wiki/Abeto_New_Energy_solar_farm"
"2024/02/27","Spain","Abeto solar farm","--","Planta fotovoltaica Abeto Solar",NA,50,"MWac","PV","pre-construction",NA,NA,"Abeto Solar",NA,"Total Solar Ibérica",NA,NA,"40.3974","-3.3104","approximate","Pozuelo del Rey",NA,"Madrid","Área metropolitana de Madrid","Southern Europe","Europe","L100000824288","G100000827395",NA,NA,"https://www.gem.wiki/Abeto_solar_farm"
"2024/01/30","Spain","Acampo Estrén solar farm","--","Planta Fotovoltaica Acampo Estrén",NA,24.9,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"Parque Fotovoltaico Estrén SL",NA,NA,"41.5468","-0.8604","approximate","Zaragoza",NA,"Zaragoza","Aragón","Southern Europe","Europe","L100001000586","G100001000897",NA,NA,"https://www.gem.wiki/Acampo_Estrén_solar_farm"
"2024/01/30","Spain","Acampo de Orús solar farm","--",NA,NA,258.9,"MWp/dc","PV","shelved - inferred 2 y",NA,NA,"Ener Delta",NA,NA,NA,NA,"41.3473","-0.7809","approximate",NA,NA,NA,"Aragón","Southern Europe","Europe","L100000824290","G100000827397",NA,NA,"https://www.gem.wiki/Acampo_de_Orús_solar_farm"
"2024/04/15","Spain","Acebuche solar farm","--",NA,NA,50,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"Hanwha Energy Corp","한화에너지",NA,"38.6590","-4.2902","approximate","Brazatortas",NA,"Ciudad Real","Castilla-La Mancha","Southern Europe","Europe","L100001005471","G100001006511",NA,NA,"https://www.gem.wiki/Acebuche_solar_farm"
"2024/03/15","Spain","Acequia solar farm","--","Parque solar fotovoltaico Acequia Solar",NA,42.5,"MWac","PV","pre-construction",NA,NA,NA,NA,"Acequia Solar SL",NA,NA,"40.6587","-3.1626","approximate","Guadalajara",NA,"Guadalajara","Castilla-La Mancha","Southern Europe","Europe","L100000824291","G100000827398",NA,NA,"https://www.gem.wiki/Acequia_solar_farm"
"2024/04/19","Spain","Adaja 1 solar farm","--",NA,NA,51.7,"unknown","PV","pre-construction",NA,NA,NA,NA,"Rin Power",NA,NA,"41.8676","-3.5387","approximate",NA,NA,NA,"Castilla y León","Southern Europe","Europe","L100001005629","G100001006749",NA,NA,"https://www.gem.wiki/Adaja_1_solar_farm"
"2024/02/09","Spain","Adeje solar farm","--","Parc solar Adeje Solar",NA,50,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"Adeje Solar SL",NA,NA,"41.4485","0.6647","approximate","Granyena de les Garrigues","Garrigues","Lleida","Cataluña","Southern Europe","Europe","L100001000846","G100001001203",NA,NA,"https://www.gem.wiki/Adeje_solar_farm"
"2024/04/03","Spain","Adelfa solar farm","--","Planta solar fotovoltaica Adelfa Solar",NA,50,"MWp/dc","PV","pre-construction",NA,NA,"Adelfa Solar",NA,"Ignis Energía SL",NA,NA,"42.1185","-4.6629","approximate","Becerril de Campos",NA,"Palencia","Castilla y León","Southern Europe","Europe","L100001004644","G100001005448",NA,NA,"https://www.gem.wiki/Adelfa_solar_farm"
"2024/04/02","Spain","Adolfo Suárez Madrid-Barajas Airport solar farm","2",NA,NA,120,"unknown","PV","pre-construction",2026,NA,NA,NA,"Aeropuertos Españoles y Navegación Aérea (AENA)",NA,NA,"40.4984","-3.5676","exact","Madrid","Área metropolitana de Madrid y Corredor del Henares",NA,NA,"Southern Europe","Europe","L100000824292","G100000827400",NA,NA,"https://www.gem.wiki/Adolfo_Suárez_Madrid-Barajas_Airport_solar_farm"
"2024/04/19","Spain","Aena Aeropuerto Madrid Barajas solar farm","--",NA,NA,120,"MWac","PV","pre-construction",NA,NA,NA,NA,"Aeropuertos Españoles y Navegación Aérea (AENA)",NA,NA,"40.5223","-3.6280","approximate","Alcobendas",NA,NA,"Madrid","Southern Europe","Europe","L100001005600","G100001006707",NA,NA,"https://www.gem.wiki/Aena_Aeropuerto_Madrid_Barajas_solar_farm"
"2024/04/02","Spain","Aeropuerto Sevilla solar farm","--",NA,NA,50,"MWp/dc","PV","pre-construction",NA,NA,"Matrix Renewables",NA,"Matrix Renewables",NA,NA,"37.4201","-5.8933","approximate",NA,NA,"Sevilla","Andalucía","Southern Europe","Europe","L100000824293","G100000827401",NA,NA,"https://www.gem.wiki/Aeropuerto_Sevilla_solar_farm"
"2024/04/04","Spain","Agenor solar farm","--",NA,NA,50,"unknown","PV","operating",2024,NA,NA,NA,"NextEnergy Solar Fund",NA,NA,"36.5207","-6.2794","approximate","Cádiz","Bay of Cádiz","Cádiz","Andalusia","Southern Europe","Europe","L100000824294","G100000827402",NA,NA,"https://www.gem.wiki/Agenor_solar_farm"
"2024/04/19","Spain","Agr Maria solar farm","Alpha",NA,NA,165.3,"unknown","PV","pre-construction",NA,NA,"Solaria",NA,NA,NA,NA,"41.7693","-4.2198","approximate",NA,NA,NA,"Castilla y León","Southern Europe","Europe","L100001005595","G100001006697",NA,NA,"https://www.gem.wiki/Agr_Maria_solar_farm"
"2024/04/19","Spain","Agr Maria solar farm","Beta",NA,NA,140.1,"unknown","PV","pre-construction",NA,NA,"Solaria",NA,NA,NA,NA,"41.7693","-4.2198","approximate",NA,NA,NA,"Castilla y León","Southern Europe","Europe","L100001005595","G100001006698",NA,NA,"https://www.gem.wiki/Agr_Maria_solar_farm"
"2024/04/19","Spain","Agr Maria solar farm","Delta",NA,NA,228.6,"unknown","PV","pre-construction",NA,NA,"Solaria",NA,NA,NA,NA,"41.7693","-4.2198","approximate",NA,NA,NA,"Castilla y León","Southern Europe","Europe","L100001005595","G100001006700",NA,NA,"https://www.gem.wiki/Agr_Maria_solar_farm"
"2024/04/19","Spain","Agr Maria solar farm","Gamma",NA,NA,140.1,"unknown","PV","pre-construction",NA,NA,"Solaria",NA,NA,NA,NA,"41.7693","-4.2198","approximate",NA,NA,NA,"Castilla y León","Southern Europe","Europe","L100001005595","G100001006699",NA,NA,"https://www.gem.wiki/Agr_Maria_solar_farm"
"2023/01/18","Spain","Agripa solar farm","--",NA,NA,45.3,"unknown","PV","operating",2022,NA,NA,NA,"Endesa SA",NA,NA,"39.2774","-6.2734","approximate",NA,"Sierra de Montánchez","Cáceres","Extremadura","Southern Europe","Europe","L100000824295","G100000827403",NA,NA,"https://www.gem.wiki/Agripa_solar_farm"
"2024/10/04","Spain","Aguasvivas solar farm","--",NA,NA,55,"unknown","PV","operating",2024,NA,"Bruc Management",NA,"Q Energy",NA,NA,"41.1471","-0.8656","approximate",NA,NA,"Badajoz","Zaragosa","Southern Europe","Europe","L100001020808","G100001023756",NA,NA,"https://www.gem.wiki/Aguasvivas_solar_farm"
"2024/03/21","Spain","Aguzadera solar farm","--",NA,NA,368.4,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"Ric Sun Energy",NA,NA,"37.6087","-4.6016","approximate",NA,NA,NA,"Andalucía","Southern Europe","Europe","L100000824296","G100000827404",NA,NA,"https://www.gem.wiki/Aguzadera_solar_farm"
"2024/02/23","Spain","Ahigal-Cerezo solar farm","--","Planta solar fotovoltaica Ahigal-Cerezo","Complejo Zajuril",137,"unknown","PV","announced",NA,NA,"Proyecto Fotovoltaico Ahigal-Cerezo",NA,"Statkraft AS",NA,NA,"40.2079","-6.2002","approximate","Ahigal",NA,"Cáceres","Extremadura","Southern Europe","Europe","L100001003180","G100001003646",NA,NA,"https://www.gem.wiki/Ahigal-Cerezo_solar_farm"
"2023/01/11","Spain","Alarcos solar farm","1",NA,NA,50,"MWp/dc","PV","operating",2020,NA,"RWE",NA,"RWE AG",NA,NA,"38.9360","-3.9897","approximate","Poblete",NA,NA,"Ciudad Real","Southern Europe","Europe","L100000805945","G100000806845","WKSL: WKSL: 73241","PRETOR: RE-113118","https://www.gem.wiki/Alarcos_solar_farm"
"2023/01/18","Spain","Alaudae solar farm","--",NA,NA,45.3,"unknown","PV","operating",2022,NA,NA,NA,"Endesa SA",NA,NA,"39.2774","-6.2734","approximate",NA,"Sierra de Montánchez","Cáceres","Extremadura","Southern Europe","Europe","L100000824297","G100000827405",NA,NA,"https://www.gem.wiki/Alaudae_solar_farm"
"2024/04/03","Spain","Alba (Spain) solar farm","--","Planta solar fotovoltaica Alba 1",NA,49.9,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"Lured Potencia SL",NA,NA,"42.5977","-5.4900","approximate","Valdefresno",NA,"León","Castilla y León","Southern Europe","Europe","L100001004669","G100001005479",NA,NA,"https://www.gem.wiki/Alba_(Spain)_solar_farm"
"2024/03/26","Spain","Albacete solar farm","--",NA,NA,150.6,"MWp/dc","PV","pre-construction",NA,NA,"Greenpower Renovables",NA,NA,NA,NA,"39.6111","-2.7904","approximate",NA,NA,NA,"Castilla-La Mancha","Southern Europe","Europe","L100000824298","G100000827406",NA,NA,"https://www.gem.wiki/Albacete_solar_farm"
"2024/03/12","Spain","Albares solar farm","--","Parque solar fotovoltaico Albares",NA,90.5,"MWac","PV","pre-construction",NA,NA,"Green Capital Power",NA,"Capital Energy",NA,NA,"40.2376","-3.7121","approximate","Pinto",NA,"Madrid","Comunidad Autónoma de Madrid","Southern Europe","Europe","L100000824299","G100000827407",NA,NA,"https://www.gem.wiki/Albares_solar_farm"
"2023/01/18","Spain","Albeniz solar farm","--",NA,NA,50,"unknown","PV","operating",2022,NA,NA,NA,"Aquila European Renewables Income Fund (AERIF)",NA,NA,"36.8476","-2.4499","approximate","Almeria",NA,"Almeria","Andalusia","Southern Europe","Europe","L100000824300","G100000827408","WKSL: WKSL: 80599",NA,"https://www.gem.wiki/Albeniz_solar_farm"
"2024/04/12","Spain","Alberche 1 solar farm","--",NA,NA,49.5,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"Forestalia SL",NA,NA,"39.9127","-4.6778","approximate","La Pueblanueva",NA,"Toledo","Castilla-La Mancha","Southern Europe","Europe","L100001005360","G100001006388",NA,NA,"https://www.gem.wiki/Alberche_1_solar_farm"
"2024/04/19","Spain","Albornez solar farm","--",NA,NA,82.5,"MWac","PV","pre-construction",NA,NA,NA,NA,"ib vogt gmbH",NA,NA,"38.0218","-4.3840","approximate","Montoro",NA,NA,"Andalucía","Southern Europe","Europe","L100001005615","G100001006731",NA,NA,"https://www.gem.wiki/Albornez_solar_farm"
"2024/03/26","Spain","Alcal 1 solar farm","--","Planta solar fotovoltaica Alcal I",NA,57,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"Isis Sun Power SL",NA,NA,"40.8396","-3.3705","approximate","Casa de Uceda",NA,"Guadalajara","Castilla-La Mancha","Southern Europe","Europe","L100000824301","G100000827409",NA,NA,"https://www.gem.wiki/Alcal_1_solar_farm"
"2021/08/09","Spain","Alcalá De Guadaira Solar Park","1",NA,"Amazon Sevilla",149,"unknown","PV","operating",2020,NA,"Amazon",NA,"Amazon",NA,NA,"37.3563","-5.8171","approximate","Alcalá de Guadaira",NA,NA,"Sevilla","Southern Europe","Europe","L100000805699","G100000806555",NA,NA,"https://www.gem.wiki/Alcalá_De_Guadaira_Solar_Park"
"2024/10/04","Spain","Alcalá de los Gazules solar farm","Alamak","Planta solar fotovoltaica Alya Solar, Planta solar fotovoltaica Alcalá de los Gazules","Alya Solar, Alamak Solar",49.9,"MWp/dc","PV","operating",2024,NA,"Alya Solar",NA,"Euder Energy SL",NA,NA,"36.4634","-5.7266","approximate","Alcalá de los Gazules",NA,"Cádiz","Andalucía","Southern Europe","Europe","L100000824302","G100000827410",NA,NA,"https://www.gem.wiki/Alcalá_de_los_Gazules_solar_farm"
"2024/10/04","Spain","Alcalá de los Gazules solar farm","Alya","Planta solar fotovoltaica Alamak Solar, Planta solar fotovoltaica Alcalá de los Gazules","Alya Solar, Alamak Solar",24,"MWp/dc","PV","operating",2024,NA,"Alamak Solar",NA,"Euder Energy SL",NA,NA,"36.4634","-5.7266","approximate","Alcalá de los Gazules",NA,"Cádiz","Andalucía","Southern Europe","Europe","L100000824302","G100000827411",NA,"WKSL: WKSL: 83978","https://www.gem.wiki/Alcalá_de_los_Gazules_solar_farm"
"2024/04/26","Spain","Alcaniz solar farm","--",NA,NA,50,"unknown","PV","shelved",NA,NA,NA,NA,NA,NA,NA,"42.0200","-0.2749","approximate",NA,NA,NA,"Aragon","Southern Europe","Europe","L100001007667","G100001008893","WKSL: WKSL: 77434",NA,"https://www.gem.wiki/Alcaniz_solar_farm"
"2024/03/15","Spain","Alcarria solar farm","--","Planta solar fotovoltaica Alcarria",NA,40,"unknown","PV","pre-construction",NA,NA,NA,NA,"Iberdrola SA",NA,NA,"39.6196","-2.7904","approximate",NA,NA,"Cuenca","Castile-La Mancha","Southern Europe","Europe","L100000824304","G100000827413",NA,NA,"https://www.gem.wiki/Alcarria_solar_farm"
"2023/01/17","Spain","Alcazar solar farm","1",NA,"Planta Solar Alcazar",44.9,"MWp/dc","PV","operating",2019,NA,"Energías Ambientales de Soria",NA,"Galp Energia SGPS SA ; Actividades de Construcción y Servicios SA",NA,NA,"39.3882","-3.2117","approximate","Alcázar de San Juan",NA,NA,NA,"Southern Europe","Europe","L100000824305","G100000827414",NA,"PRETOR: RE-112894","https://www.gem.wiki/Alcazar_solar_farm"
"2023/01/17","Spain","Alcazar solar farm","2",NA,"Planta Solar Alcazar",44.9,"MWp/dc","PV","operating",2019,NA,"Energías Ambientales de Soria",NA,"Galp Energia SGPS SA ; Actividades de Construcción y Servicios SA",NA,NA,"39.3882","-3.2117","approximate","Alcázar de San Juan",NA,NA,NA,"Southern Europe","Europe","L100000824305","G100000827415",NA,"PRETOR: RE-112895","https://www.gem.wiki/Alcazar_solar_farm"
"2023/01/04","Spain","Alcores Calaspasol solar farm","--",NA,NA,39.9,"MWp/dc","PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.4706","-5.6470","approximate","Carmona",NA,NA,NA,"Southern Europe","Europe","L100000824307","G100000827417",NA,"PRETOR: RE-112994","https://www.gem.wiki/Alcores_Calaspasol_solar_farm"
"2021/08/09","Spain","Alcores solar farm","1",NA,NA,40,"MWp/dc","PV","operating",2019,NA,"X-Elio",NA,"X-Elio",NA,NA,"37.4360","-5.7930","exact",NA,NA,NA,"Sevilla","Southern Europe","Europe","L100000806037","G100000806950","WKSL: WKSL: 82459","WKSL: WKSL: 82459","https://www.gem.wiki/Alcores_solar_farm"
"2024/04/03","Spain","Alcornoque solar farm","--","Planta solar fotovoltaica Alcornoque Solar",NA,50,"MWp/dc","PV","pre-construction",NA,NA,"Alcornoque Solar",NA,"Ignis Energía SL",NA,NA,"42.1237","-4.6615","approximate","Becerril de Campos",NA,"Palencia","Castilla y León","Southern Europe","Europe","L100001004639","G100001005444",NA,NA,"https://www.gem.wiki/Alcornoque_solar_farm"
"2024/03/27","Spain","Alcántara solar farm","--",NA,NA,100,"MWp/dc","PV","pre-construction",NA,NA,"Benbros Solar",NA,NA,NA,NA,"38.7910","-5.6362","approximate",NA,NA,NA,"Extremadura","Southern Europe","Europe","L100000824303","G100000827412",NA,NA,"https://www.gem.wiki/Alcántara_solar_farm"
"2024/02/21","Spain","Aldea de San Miguel solar farm","--","Planta solar fotovoltaica Aldea San Miguel",NA,53.2,"MWac","PV","pre-construction",NA,NA,"New Universeline System",NA,"BayWa R.E. AG",NA,NA,"41.4640","-4.6274","approximate","Aldea de San Miguel",NA,"Valladolid","Castile and León","Southern Europe","Europe","L100000824308","G100000827418",NA,NA,"https://www.gem.wiki/Aldea_de_San_Miguel_solar_farm"
"2024/04/02","Spain","Aldehuela solar farm","--",NA,NA,130,"MWp/dc","PV","shelved",NA,NA,"Dos Grados Capital",NA,NA,NA,NA,"40.3051","-3.7307","approximate","Getafe",NA,NA,"Comunidad de Madrid","Southern Europe","Europe","L100000824309","G100000827419",NA,NA,"https://www.gem.wiki/Aldehuela_solar_farm"
"2024/01/26","Spain","Alfajarín solar farm","--","Instalación fotovoltaica Alfajarín Solar",NA,76.8,"MWac","PV","pre-construction",NA,NA,"Enel Green Power",NA,"Enel Green Power SpA",NA,NA,"41.6140","-0.7038","approximate","Alfajarín",NA,"Zaragoza","Aragón","Southern Europe","Europe","L100000824311","G100000827421",NA,NA,"https://www.gem.wiki/Alfajarín_solar_farm"
"2024/03/18","Spain","Alfamén solar farm","--","Planta solar fotovoltaica Alfamén Energía",NA,200,"unknown","PV","pre-construction",NA,NA,NA,NA,"Alfamen Energía SL",NA,NA,"41.4471","-1.2366","approximate","Alfamén",NA,"Zaragoza","Aragón","Southern Europe","Europe","L100000824312","G100000827422",NA,NA,"https://www.gem.wiki/Alfamén_solar_farm"
"2023/01/11","Spain","Algibicos solar farm","1",NA,"Algibicos PV",49,"MWp/dc","PV","operating",2020,NA,"EKZ Renewables",NA,"Elektrizitätswerke des Kantons Zürich",NA,NA,"37.8470","-1.1180","exact","Baños y Mendigo",NA,NA,"Murcia","Southern Europe","Europe","L100000805769","G100000806638",NA,"PRETOR: RE-113206,WKSL: WKSL: 84959","https://www.gem.wiki/Algibicos_solar_farm"
"2023/01/12","Spain","Algiedi solar farm","--",NA,NA,20.6,"MWp/dc","PV","operating",2022,NA,NA,NA,"Solaria Energía y Medio Ambiente SA",NA,NA,"41.9829","-4.4281","approximate","Magaz de Pisuerga",NA,NA,NA,"Southern Europe","Europe","L100000824313","G100000827423","WKSL: WKSL: 77659","PRETOR: RE-113764","https://www.gem.wiki/Algiedi_solar_farm"
"2024/11/19","Spain","Alhendín solar farm","--",NA,NA,56,"MWp/dc","PV","operating",2024,NA,NA,NA,"BayWa R.E. AG",NA,NA,"37.1774","-3.5937","approximate","Granada","Comarca de la Vega de Granada","Granada","Andalucía","Southern Europe","Europe","L100000824314","G100000827424",NA,NA,"https://www.gem.wiki/Alhendín_solar_farm"
"2024/04/02","Spain","Aliaga solar farm","1",NA,NA,80,"MWp/dc","PV","pre-construction",NA,NA,"Sonnedix",NA,NA,NA,NA,"37.6087","-4.6016","approximate",NA,NA,NA,"Andalucía","Southern Europe","Europe","L100000824315","G100000827425",NA,NA,"https://www.gem.wiki/Aliaga_solar_farm"
"2024/04/02","Spain","Aliaga solar farm","2",NA,NA,80,"MWp/dc","PV","pre-construction",NA,NA,"Sonnedix",NA,NA,NA,NA,"37.6087","-4.6016","approximate",NA,NA,NA,"Andalucía","Southern Europe","Europe","L100000824315","G100000827426",NA,NA,"https://www.gem.wiki/Aliaga_solar_farm"
"2021/08/09","Spain","Alicante solar farm","1",NA,NA,70,"unknown","PV","cancelled - inferred 4 y",NA,NA,NA,NA,"BayWa R.E. AG",NA,NA,"37.9774","-0.6872","approximate","Alicante",NA,NA,"Valencia","Southern Europe","Europe","L100000806118","G100000807039",NA,NA,"https://www.gem.wiki/Alicante_solar_farm"
"2024/04/19","Spain","Alisio solar farm","--",NA,NA,82.5,"unknown","PV","pre-construction",NA,NA,NA,NA,"Ignis Energía SL",NA,NA,"37.5475","-4.3671","approximate",NA,NA,NA,"Andalucía","Southern Europe","Europe","L100001005616","G100001006732",NA,NA,"https://www.gem.wiki/Alisio_solar_farm"
"2024/04/26","Spain","Alizarsun solar farm","--",NA,NA,50,"unknown","PV","announced",NA,NA,NA,NA,NA,NA,NA,"41.1820","-0.4397","approximate",NA,NA,NA,"Aragon","Southern Europe","Europe","L100001007668","G100001008894","WKSL: 78722",NA,"https://www.gem.wiki/Alizarsun_solar_farm"
"2024/02/27","Spain","Aljarafe solar farm","--","Planta solar fotovoltaica Aljarafe",NA,74.8,"MWac","PV","pre-construction",NA,NA,"Enel Green Power España",NA,"Enel Green Power España SL",NA,NA,"37.4186","-6.0950","approximate","Salteras",NA,"Sevilla","Andalucía","Southern Europe","Europe","L100000824316","G100000827427",NA,NA,"https://www.gem.wiki/Aljarafe_solar_farm"
"2024/04/02","Spain","Allives solar farm","--",NA,NA,120,"MWp/dc","PV","pre-construction",NA,NA,"Nara Solar",NA,NA,NA,NA,"37.2841","-5.9294","approximate","Dos Hermanas",NA,"Dos Hermanas",NA,"Southern Europe","Europe","L100000824317","G100000827428",NA,NA,"https://www.gem.wiki/Allives_solar_farm"
"2024/03/15","Spain","Almagro solar farm","--","Planta solar fotovoltaica Almagro",NA,100,"unknown","PV","pre-construction",NA,NA,"Capital Wings 2000",NA,"Dos Grados Capital",NA,NA,"38.8914","-4.0344","approximate","Corral de Calatrava",NA,"Ciudad Real","Castilla-La Mancha","Southern Europe","Europe","L100000824318","G100000827429",NA,NA,"https://www.gem.wiki/Almagro_solar_farm"
"2024/02/13","Spain","Almansa (Akuo) solar farm","1","Parque Solar Fotovoltaica Almansa 1, Parque Solar Fotovoltaica Almansa",NA,75.6,"MWac","PV","pre-construction",NA,NA,"Figsel Trade",NA,"Akuo Energy",NA,NA,"38.8054","-0.8808","approximate",NA,NA,"Valencia","Valencian Community","Southern Europe","Europe","L100000824319","G100000827430",NA,NA,"https://www.gem.wiki/Almansa_(Akuo)_solar_farm"
"2023/01/11","Spain","Almansa (X-Elio) solar farm","1",NA,NA,50,"MWp/dc","PV","operating",2019,NA,"Eiffage Énergie Systèmes",NA,"X-Elio",NA,NA,"38.8300","-1.0480","exact","Almansa",NA,NA,"Albacete","Southern Europe","Europe","L100000805765","G100000806634",NA,"PRETOR: RE-113001,WKSL: WKSL: 82461","https://www.gem.wiki/Almansa_(X-Elio)_solar_farm"
"2024/04/26","Spain","Almansol solar farm","--",NA,NA,50,"MWp/dc","PV","announced",NA,NA,NA,NA,NA,NA,NA,"38.8863","-2.0153","approximate",NA,NA,NA,"Albacete","Southern Europe","Europe","L100001007669","G100001008895","WKSL: WKSL: 75379",NA,"https://www.gem.wiki/Almansol_solar_farm"
"2023/01/11","Spain","Almaraz solar farm","1",NA,NA,42.6,"MWp/dc","PV","operating",2022,NA,NA,NA,"Iberdrola SA",NA,NA,"39.7867","-5.7003","approximate",NA,"Campo Arañuelo","Cáceres","Extremadura","Southern Europe","Europe","L100000824320","G100000827431","WKSL: WKSL: 82659","PRETOR: RE-113325","https://www.gem.wiki/Almaraz_solar_farm"
"2023/01/11","Spain","Almaraz solar farm","2",NA,NA,42.6,"MWp/dc","PV","operating",2022,NA,NA,NA,"Iberdrola SA",NA,NA,"39.7867","-5.7003","approximate",NA,"Campo Arañuelo","Cáceres","Extremadura","Southern Europe","Europe","L100000824320","G100000827432","WKSL: WKSL: 82659","PRETOR: RE-113326","https://www.gem.wiki/Almaraz_solar_farm"
"2024/04/19","Spain","Almargo solar farm","--",NA,NA,100,"unknown","PV","pre-construction",NA,NA,NA,NA,"Capital Wings 2000 SL",NA,NA,"38.8592","-4.0811","approximate","Corral de Calatrava",NA,"Ciudad Real","Castilla-La Mancha","Southern Europe","Europe","L100001005605","G100001006716",NA,NA,"https://www.gem.wiki/Almargo_solar_farm"
"2024/01/31","Spain","Almenara solar farm","--","Planta Solar Fotovoltaica Almenara Solar",NA,50,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"ib vogt gmbH; Ignis Energía SL",NA,NA,"41.3684","1.3243","exact","El Pla de Santa Maria","Alt Camp","Tarragona","Catalonia","Southern Europe","Europe","L100000824321","G100000827433",NA,NA,"https://www.gem.wiki/Almenara_solar_farm"
"2024/04/26","Spain","Almendralejo solar farm","--",NA,NA,125,"unknown","PV","operating",2023,NA,NA,NA,"Acciona SA",NA,NA,"38.8695","-6.9791","approximate",NA,NA,"Badajoz","Extremadura","Southern Europe","Europe","L100001007670","G100001008896",NA,NA,"https://www.gem.wiki/Almendralejo_solar_farm"
"2024/04/02","Spain","Almendro solar farm","--","Planta solar fotovoltaica Almendro Solar",NA,50,"MWp/dc","PV","pre-construction",NA,NA,"Almendro Solar",NA,"Hanwha Energy Corp","한화에너지",NA,"42.0963","-4.6095","approximate","Villaumbrales",NA,"Palencia","Castilla y León","Southern Europe","Europe","L100001004587","G100001005384",NA,NA,"https://www.gem.wiki/Almendro_solar_farm"
"2024/04/02","Spain","Almeria (Euder Energy) solar farm","1",NA,NA,50,"MWp/dc","PV","announced",NA,NA,"Euder Energy",NA,"Euder Energy SL",NA,NA,"36.8564","-2.4669","approximate","Almeria",NA,NA,"Almeria","Southern Europe","Europe","L100000824322","G100000827434",NA,NA,"https://www.gem.wiki/Almeria_(Euder_Energy)_solar_farm"
"2024/04/02","Spain","Almeria (Euder Energy) solar farm","2",NA,NA,50,"MWp/dc","PV","announced",NA,NA,"Euder Energy",NA,"Euder Energy SL",NA,NA,"36.8564","-2.4669","approximate","Almeria",NA,NA,"Almeria","Southern Europe","Europe","L100000824322","G100000827435",NA,NA,"https://www.gem.wiki/Almeria_(Euder_Energy)_solar_farm"
"2024/04/02","Spain","Almeria (Euder Energy) solar farm","3",NA,NA,50,"MWp/dc","PV","announced",NA,NA,"Euder Energy",NA,"Euder Energy SL",NA,NA,"36.8564","-2.4669","approximate","Almeria",NA,NA,"Almeria","Southern Europe","Europe","L100000824322","G100000827436",NA,NA,"https://www.gem.wiki/Almeria_(Euder_Energy)_solar_farm"
"2024/04/15","Spain","Almoguera 1 solar farm","--",NA,NA,45.6,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"Libienergy Energías SL",NA,NA,"40.4170","-2.9214","approximate","Pastrana",NA,"Guadalajara","Castilla-La Mancha","Southern Europe","Europe","L100001005464","G100001006503",NA,NA,"https://www.gem.wiki/Almoguera_1_solar_farm"
"2024/04/12","Spain","Alsemur solar farm","Alsemur 1",NA,NA,38,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"Solaer Energías Bahía Blanca SL",NA,NA,"38.6588","-4.2951","approximate","Brazatortas",NA,"Ciudad Real","Castilla-La Mancha","Southern Europe","Europe","L100001005376","G100001006409",NA,NA,"https://www.gem.wiki/Alsemur_solar_farm"
