"Date Last Researched","Country/Area","Project Name","Phase Name","Project Name in Local Language / Script","Other Name(s)","Capacity (MW)","Capacity Rating","Technology Type","Status","Start year","Retired year","Operator","Operator Name in Local Language / Script","Owner","Owner Name in Local Language / Script","Hydrogen","Latitude","Longitude","Location accuracy","City","Local area (taluk, county)","Major area (prefecture, district)","State/Province","Subregion","Region","GEM location ID","GEM phase ID","Other IDs (location)","Other IDs (unit/phase)","Wiki URL"
"2024/02/27","Spain","Linares solar project","--",NA,NA,5.4,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"38.0917","-3.7056","exact","Linares",NA,NA,"Andalusia","Southern Europe","Europe","L100001009754","G100001011124",NA,"TZ: SOL000206409","https://www.gem.wiki/Linares_solar_project"
"2024/02/27","Spain","Llanos De Olivenza solar project I","--",NA,NA,1.7,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"38.6966","-7.1256","exact",NA,"Llanos de Olivenza",NA,"Extremadura","Southern Europe","Europe","L100001009435","G100001010805",NA,"TZ: SOL000200967","https://www.gem.wiki/Llanos_De_Olivenza_solar_project_I"
"2024/02/27","Spain","Llanos De Olivenza solar project II","--",NA,NA,2.4,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"38.7054","-7.2125","exact",NA,"Llanos de Olivenza",NA,"Extremadura","Southern Europe","Europe","L100001009552","G100001010922",NA,"TZ: SOL000200976","https://www.gem.wiki/Llanos_De_Olivenza_solar_project_II"
"2024/02/27","Spain","Llanos De Olivenza solar project III","--",NA,NA,10.9,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"38.7192","-7.1409","exact",NA,"Llanos de Olivenza",NA,"Extremadura","Southern Europe","Europe","L100001010022","G100001011392",NA,"TZ: SOL000200982","https://www.gem.wiki/Llanos_De_Olivenza_solar_project_III"
"2024/02/27","Spain","Llanos De Olivenza solar project IV","--",NA,NA,5.8,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"38.7061","-7.1278","exact",NA,"Llanos de Olivenza",NA,"Extremadura","Southern Europe","Europe","L100001010061","G100001011431",NA,"TZ: SOL000200978","https://www.gem.wiki/Llanos_De_Olivenza_solar_project_IV"
"2024/02/27","Spain","Llanos De Olivenza solar project IX","--",NA,NA,4.1,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"38.5265","-6.8665","exact",NA,"Llanos de Olivenza",NA,"Extremadura","Southern Europe","Europe","L100001010556","G100001011926",NA,"TZ: SOL000200920","https://www.gem.wiki/Llanos_De_Olivenza_solar_project_IX"
"2024/02/27","Spain","Llanos De Olivenza solar project V","--",NA,NA,11.1,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"38.4847","-7.0344","exact",NA,"Llanos de Olivenza",NA,"Extremadura","Southern Europe","Europe","L100001010104","G100001011474",NA,"TZ: SOL000200907","https://www.gem.wiki/Llanos_De_Olivenza_solar_project_V"
"2024/02/27","Spain","Llanos De Olivenza solar project VI","--",NA,NA,3.4,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"38.5213","-6.8704","exact",NA,"Llanos de Olivenza",NA,"Extremadura","Southern Europe","Europe","L100001010108","G100001011478",NA,"TZ: SOL000200918","https://www.gem.wiki/Llanos_De_Olivenza_solar_project_VI"
"2024/02/27","Spain","Llanos De Olivenza solar project VII","--",NA,NA,3,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"38.6057","-6.8116","exact",NA,"Llanos de Olivenza",NA,"Extremadura","Southern Europe","Europe","L100001010110","G100001011480",NA,"TZ: SOL000200930","https://www.gem.wiki/Llanos_De_Olivenza_solar_project_VII"
"2024/02/27","Spain","Llanos De Olivenza solar project VIII","--",NA,NA,7,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"38.7014","-7.0772","exact",NA,"Llanos de Olivenza",NA,"Extremadura","Southern Europe","Europe","L100001010467","G100001011837",NA,"TZ: SOL000200970","https://www.gem.wiki/Llanos_De_Olivenza_solar_project_VIII"
"2024/05/06","Spain","Llanos de Caudillo A solar project","--",NA,NA,6,"MWp/dc","Assumed PV","operating",2009,NA,NA,NA,NA,NA,NA,"39.1060","-3.3060","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009156","G100001010526",NA,"WKSL: 77447","https://www.gem.wiki/Llanos_de_Caudillo_A_solar_project"
"2024/02/27","Spain","Lleida Segrià solar project","--",NA,NA,2,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"41.6354","0.6179","exact","Lleida","Segrià",NA,"Catalonia","Southern Europe","Europe","L100001010327","G100001011697",NA,"TZ: SOL000218001","https://www.gem.wiki/Lleida_Segrià_solar_project"
"2024/05/06","Spain","Llerena 1 solar project","--",NA,NA,4.8,"MWp/dc","Assumed PV","operating",2008,NA,NA,NA,NA,NA,NA,"38.2410","-5.9592","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009123","G100001010493",NA,"WKSL: 60373","https://www.gem.wiki/Llerena_1_solar_project"
"2024/02/27","Spain","Llevant solar project I","--",NA,NA,3,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.5584","3.3526","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001009471","G100001010841",NA,"TZ: SOL000224584","https://www.gem.wiki/Llevant_solar_project_I"
"2024/02/27","Spain","Llevant solar project II","--",NA,NA,2.2,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.6347","3.2037","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001009512","G100001010882",NA,"TZ: SOL000222440","https://www.gem.wiki/Llevant_solar_project_II"
"2024/02/27","Spain","Llevant solar project III","--",NA,NA,2.3,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.5668","3.1787","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001009559","G100001010929",NA,"TZ: SOL000222429","https://www.gem.wiki/Llevant_solar_project_III"
"2024/02/27","Spain","Llevant solar project IV","--",NA,NA,1.9,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.6640","3.3405","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001009615","G100001010985",NA,"TZ: SOL000224590","https://www.gem.wiki/Llevant_solar_project_IV"
"2024/02/27","Spain","Llevant solar project IX","--",NA,NA,1.8,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.5642","3.1899","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001010334","G100001011704",NA,"TZ: SOL000222427","https://www.gem.wiki/Llevant_solar_project_IX"
"2024/02/27","Spain","Llevant solar project V","--",NA,NA,4,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.6792","3.3461","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001009675","G100001011045",NA,"TZ: SOL000224591","https://www.gem.wiki/Llevant_solar_project_V"
"2024/02/27","Spain","Llevant solar project VI","--",NA,NA,1.6,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.5446","3.3086","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001009699","G100001011069",NA,"TZ: SOL000222422","https://www.gem.wiki/Llevant_solar_project_VI"
"2024/02/27","Spain","Llevant solar project VII","--",NA,NA,2.8,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.6427","3.4005","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001009743","G100001011113",NA,"TZ: SOL000224589","https://www.gem.wiki/Llevant_solar_project_VII"
"2024/02/27","Spain","Llevant solar project VIII","--",NA,NA,1.4,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.5872","3.3694","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001009821","G100001011191",NA,"TZ: SOL000224585","https://www.gem.wiki/Llevant_solar_project_VIII"
"2024/02/27","Spain","Llevant solar project X","--",NA,NA,1.5,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.5269","3.1854","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001010336","G100001011706",NA,"TZ: SOL000222420","https://www.gem.wiki/Llevant_solar_project_X"
