"","X","Quality","Day","Month","Year","Hr","Min","Outlier","logger_type","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","altitude","hdop","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"2","3","1","12","02","2011","10","44","0","argos","2011-02-12","10:44:35","2011-02-12 10:44:35","-3.912222222","38.92944444","0.687","0","180332","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",3,420929.978150476,4309342.54464421,420929.978150476,4309342.54464421,0.0176060080908201,"NO"
"3","4","1","12","02","2011","13","41","0","argos","2011-02-12","13:41:28","2011-02-12 13:41:28","-3.908611111","38.93055556","0.685","0","10613","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",4,421244.218112039,4309462.72310208,421244.218112039,4309462.72310208,0.0316974414578024,"NO"
"4","5","1","12","02","2011","15","22","0","argos","2011-02-12","15:22:23","2011-02-12 15:22:23","-3.861944444","38.91416667","0.680","0","6055","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",5,425272.025563724,4307604.73444587,425272.025563724,4307604.73444587,0.732445674958747,"NO"
"5","6","1","12","02","2011","18","49","0","argos","2011-02-12","18:49:41","2011-02-12 18:49:41","-3.879722222","38.91833333","0.687","0","12438","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",6,423735.180571293,4308081.83455989,423735.180571293,4308081.83455989,0.129367122883324,"NO"
"6","7","1","12","02","2011","19","38","0","argos","2011-02-12","19:38:33","2011-02-12 19:38:33","-3.89","38.9175","0.686","0","2932","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",7,422843.262473196,4307998.00323607,422843.262473196,4307998.00323607,0.305437806280656,"NO"
"7","8","2","14","02","2011","20","55","0","argos","2011-02-14","20:55:34","2011-02-14 20:55:34","-3.887777778","38.9175","0.686","0","177421","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",8,423035.916774141,4307996.125489,423035.916774141,4307996.125489,0.00108590508315137,"NO"
"8","9","3","14","02","2011","22","0","0","argos","2011-02-14","22:00:22","2011-02-14 22:00:22","-3.888333333","38.9175","0.686","0","3888","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",9,422987.753244567,4307996.59448516,422987.753244567,4307996.59448516,0.012385140900744,"NO"
"9","10","2","14","02","2011","23","4","0","argos","2011-02-14","23:04:30","2011-02-14 23:04:30","-3.886666667","38.91916667","0.687","0","3848","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",10,423134.042137482,4308180.14266207,423134.042137482,4308180.14266207,0.0609803548259372,"NO"
"10","11","2","15","02","2011","4","7","0","argos","2011-02-15","04:07:22","2011-02-15 04:07:22","-3.882222222","38.91694444","0.687","0","18172","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",11,423516.956114055,4307929.79989137,423516.956114055,4307929.79989137,0.0251740100915735,"NO"
"11","12","1","17","02","2011","10","36","0","argos","2011-02-17","10:36:58","2011-02-17 10:36:58","-3.872222222","38.92277778","0.686","0","196176","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",12,424390.098163705,4308568.80006921,424390.098163705,4308568.80006921,0.00551536677661172,"NO"
"12","13","2","17","02","2011","10","42","0","argos","2011-02-17","10:42:05","2011-02-17 10:42:05","-3.897222222","38.9125","0.685","0","307","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",13,422211.677285507,4307449.276565,422211.677285507,4307449.276565,7.95212685139786,"NO"
"13","14","2","17","02","2011","15","8","0","argos","2011-02-17","15:08:51","2011-02-17 15:08:51","-3.893055556","38.91777778","0.686","0","16006","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",14,422578.664564891,4308031.41871265,422578.664564891,4308031.41871265,0.0429914163886796,"NO"
"14","15","1","17","02","2011","16","10","0","argos","2011-02-17","16:10:06","2011-02-17 16:10:06","-3.901666667","38.96305556","0.680","0","3675","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",15,421881.833743345,4313063.36896102,421881.833743345,4313063.36896102,1.38192876155221,"NO"
"15","16","2","19","02","2011","21","40","0","argos","2011-02-19","21:40:33","2011-02-19 21:40:33","-3.886944444","38.91916667","0.687","0","192627","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",16,423109.960981247,4308180.37683254,423109.960981247,4308180.37683254,0.0261388162066117,"NO"
"16","17","3","19","02","2011","23","1","0","argos","2011-02-19","23:01:36","2011-02-19 23:01:36","-3.883333333","38.9175","0.687","0","4863","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",17,423421.22538877,4307992.38408009,423421.22538877,4307992.38408009,0.0747594655660607,"NO"
"17","18","1","22","02","2011","9","40","0","argos","2011-02-22","09:40:39","2011-02-22 09:40:39","-3.885","38.91555556","0.686","0","211143","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",18,423274.640768807,4307778.00591822,423274.640768807,4307778.00591822,0.00122997500613879,"NO"
"18","19","2","22","02","2011","10","55","0","argos","2011-02-22","10:55:20","2011-02-22 10:55:20","-3.865555556","38.91638889","0.683","0","4481","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",19,424961.288383407,4307854.3039498,424961.288383407,4307854.3039498,0.376700682848262,"NO"
"19","20","2","24","02","2011","19","0","0","argos","2011-02-24","19:00:10","2011-02-24 19:00:10","-3.866388889","38.91805556","0.683","0","201890","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",20,424890.799056062,4308039.94397924,424890.799056062,4308039.94397924,0.000983562015192356,"NO"
"20","21","3","24","02","2011","20","37","0","argos","2011-02-24","20:37:22","2011-02-24 20:37:22","-3.870277778","38.91611111","0.685","0","5832","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",21,424551.597924731,4307827.37410664,424551.597924731,4307827.37410664,0.0686274785200991,"NO"
"21","22","2","24","02","2011","21","22","0","argos","2011-02-24","21:22:50","2011-02-24 21:22:50","-3.873611111","38.91694444","0.686","0","2728","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",22,424263.496948059,4307922.6134863,424263.496948059,4307922.6134863,0.111189027701313,"NO"
"22","23","2","24","02","2011","22","55","0","argos","2011-02-24","22:55:40","2011-02-24 22:55:40","-3.863055556","38.91722222","0.682","0","5570","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",23,425178.902700444,4307944.72637659,425178.902700444,4307944.72637659,0.164364171088989,"NO"
"23","24","3","27","02","2011","3","1","0","argos","2011-02-27","03:01:06","2011-02-27 03:01:06","-3.862222222","38.92611111","0.682","0","187526","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",24,425260.475025931,4308930.46321292,425260.475025931,4308930.46321292,0.0052744737578476,"NO"
"24","25","2","27","02","2011","3","40","0","argos","2011-02-27","03:40:37","2011-02-27 03:40:37","-3.861388889","38.92555556","0.683","0","2371","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",25,425332.129117943,4308868.12979451,425332.129117943,4308868.12979451,0.0400389704290535,"NO"
"25","26","2","27","02","2011","6","30","0","argos","2011-02-27","06:30:27","2011-02-27 06:30:27","-3.860555556","38.92444444","0.683","0","10190","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",26,425403.202493724,4308744.1441648,425403.202493724,4308744.1441648,0.0140233612784031,"NO"
"26","27","1","27","02","2011","8","7","0","argos","2011-02-27","08:07:30","2011-02-27 08:07:30","-3.882777778","38.93111111","0.685","0","5823","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",27,423484.011833223,4309502.37575756,423484.011833223,4309502.37575756,0.354317062215752,"NO"
"27","28","2","27","02","2011","10","20","0","argos","2011-02-27","10:20:34","2011-02-27 10:20:34","-3.875833333","38.91555556","0.687","0","7984","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",28,424069.361174737,4307770.3341653,424069.361174737,4307770.3341653,0.228964108422835,"NO"
"28","29","2","01","03","2011","14","2","0","argos","2011-03-01","14:02:53","2011-03-01 14:02:53","-3.873888889","38.92305556","0.687","0","186139","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",29,424245.913646773,4308601.00924496,424245.913646773,4308601.00924496,0.00456231954034736,"NO"
"29","30","1","01","03","2011","14","41","0","argos","2011-03-01","14:41:18","2011-03-01 14:41:18","-3.713055556","38.94444444","0.687","0","2305","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",30,438206.675007591,4310853.25198868,438206.675007591,4310853.25198868,6.13237979428574,"NO"
"30","31","1","01","03","2011","15","46","0","argos","2011-03-01","15:46:55","2011-03-01 15:46:55","-3.871944444","38.91916667","0.685","0","3937","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",31,424410.346511197,4308167.83657799,424410.346511197,4308167.83657799,3.56913483111676,"NO"
"31","32","1","01","03","2011","16","23","0","argos","2011-03-01","16:23:49","2011-03-01 16:23:49","-3.865","38.93638889","0.686","0","2214","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",32,425030.507599781,4310073.29424758,425030.507599781,4310073.29424758,0.904667491240052,"NO"
"32","33","2","01","03","2011","16","59","0","argos","2011-03-01","16:59:51","2011-03-01 16:59:51","-3.867777778","38.925","0.685","0","2162","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",33,424777.724618756,4308811.72918821,424777.724618756,4308811.72918821,0.594841064331636,"NO"
"33","34","2","01","03","2011","18","40","0","argos","2011-03-01","18:40:34","2011-03-01 18:40:34","-3.860277778","38.9275","0.684","0","6043","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",34,425430.481050098,4309082.99955419,425430.481050098,4309082.99955419,0.116955569060077,"NO"
"34","35","2","01","03","2011","21","21","0","argos","2011-03-01","21:21:16","2011-03-01 21:21:16","-3.861111111","38.92694444","0.684","0","9642","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",35,425357.663723871,4309022.02962014,425357.663723871,4309022.02962014,0.00984881046953823,"NO"
"35","36","1","01","03","2011","22","51","0","argos","2011-03-01","22:51:37","2011-03-01 22:51:37","-3.867222222","38.92638889","0.686","0","5421","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",36,424827.34898982,4308965.3994296,424827.34898982,4308965.3994296,0.0983640388806844,"NO"
"36","37","2","04","03","2011","4","27","0","argos","2011-03-04","04:27:10","2011-03-04 04:27:10","-3.872222222","38.91944444","0.685","0","192933","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",37,424386.56010619,4308198.89163008,424386.56010619,4308198.89163008,0.00458297124438523,"NO"
"37","38","2","04","03","2011","6","9","0","argos","2011-03-04","06:09:35","2011-03-04 06:09:35","-3.871111111","38.91888889","0.685","0","6145","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",38,424482.29563945,4308136.3202947,424482.29563945,4308136.3202947,0.0186088281245735,"NO"
"38","39","3","06","03","2011","18","19","0","argos","2011-03-06","18:19:20","2011-03-06 18:19:20","-3.913888889","38.87166667","0.661","0","216585","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",39,420721.283746224,4302932.2653756,420721.283746224,4302932.2653756,0.0296457596047205,"NO"
"39","40","3","06","03","2011","20","50","0","argos","2011-03-06","20:50:16","2011-03-06 20:50:16","-3.900833333","38.87166667","0.652","0","9056","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",40,421853.857055909,4302921.00823125,421853.857055909,4302921.00823125,0.125055675516998,"NO"
"40","41","2","09","03","2011","2","55","0","argos","2011-03-09","02:55:03","2011-03-09 02:55:03","-3.901666667","38.87333333","0.651","0","194687","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",41,421783.391925828,4303106.67384964,421783.391925828,4303106.67384964,0.00102003027522039,"NO"
"41","42","3","09","03","2011","3","31","0","argos","2011-03-09","03:31:29","2011-03-09 03:31:29","-3.9075","38.87361111","0.654","0","2186","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",42,421277.666932058,4303142.51400446,421277.666932058,4303142.51400446,0.231821389426424,"NO"
"42","43","3","09","03","2011","5","46","0","argos","2011-03-09","05:46:51","2011-03-09 05:46:51","-3.909444444","38.87194444","0.658","0","8122","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",43,421107.147834907,4302959.23955776,421107.147834907,4302959.23955776,0.0308177212482223,"NO"
"43","44","1","11","03","2011","9","39","0","argos","2011-03-11","09:39:15","2011-03-11 09:39:15","-3.919444444","38.85861111","0.676","0","186744","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",44,420224.747494843,4301488.30873199,420224.747494843,4301488.30873199,0.00918527410225153,"NO"
"44","45","2","11","03","2011","10","53","0","argos","2011-03-11","10:53:49","2011-03-11 10:53:49","-3.911388889","38.86111111","0.664","0","4474","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",45,420926.466462746,4301758.73041337,420926.466462746,4301758.73041337,0.168049654579429,"NO"
"45","46","1","11","03","2011","11","26","0","argos","2011-03-11","11:26:55","2011-03-11 11:26:55","-3.937777778","38.86138889","0.684","0","1986","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",46,418637.198186221,4301812.7400222,418637.198186221,4301812.7400222,1.1524435326111,"NO"
"46","47","3","11","03","2011","14","0","0","argos","2011-03-11","14:00:55","2011-03-11 14:00:55","-3.910833333","38.865","0.663","0","9240","0","311","NO_burst_boost","F","BBS","AD","MSUR","CLM","BBS_44751",47,420978.973286696,4302189.80531932,420978.973286696,4302189.80531932,0.256675444838818,"NO"
