"","X","Transmitting.time","Altitude..Ellipsoid.","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.Source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"1","2","2023-03-24T13:59:08.792Z","860.69","143.6","2","0","0","3","[1]","0.95","druid","2023-03-24","01:58:11","2023-03-24 01:58:11","1.32","-5.3377164","41.361664","6","1.2","809.13","13000003f9","3600","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",2,304466.10100139,4581543.1979905,304466.10100139,4581543.1979905,NA,NA
"2","3","2023-03-24T13:59:08.792Z","814.4","0","2","0","0","3","[1]","0.85","druid","2023-03-24","02:58:10","2023-03-24 02:58:10","1.02","-5.3376872","41.3614304","8","0","762.85","13000003f9","3599","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",3,304467.84389202,4581517.19587741,304467.84389202,4581517.19587741,0.00723901654636303,"NO"
"3","4","2023-03-24T13:59:08.793Z","814.43","0","2","0","0","4","[1]","0.81","druid","2023-03-24","03:58:11","2023-03-24 03:58:11","0.98","-5.3375508","41.3611456","8","0.2","762.88","13000003f9","3601","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",4,304478.400708322,4581485.26722267,304478.400708322,4581485.26722267,0.0093361018988901,"NO"
"4","5","2023-03-24T13:59:08.794Z","836.57","11.4","2","0","0","24","[1]","0.81","druid","2023-03-24","04:58:31","2023-03-24 04:58:31","0.94","-5.3375796","41.361168","8","0","785.01","13000003f9","3620","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",5,304476.05868302,4581487.81924241,304476.05868302,4581487.81924241,0.000956585653314457,"NO"
"5","6","2023-03-24T13:59:08.795Z","849.16","144.5","2","0","0","3","[1]","0.82","druid","2023-03-24","05:58:08","2023-03-24 05:58:08","1.08","-5.3376144","41.3611104","7","0.2","797.6","13000003f9","3577","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",6,304472.975160208,4581481.50253468,304472.975160208,4581481.50253468,0.00196454643136864,"NO"
"6","7","2023-03-24T13:59:08.796Z","882.22","138.3","2","0","0","2","[1]","0.84","druid","2023-03-24","06:58:08","2023-03-24 06:58:08","0.94","-5.3376568","41.3612256","7","1.3","830.66","13000003f9","3600","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",7,304469.77344108,4581494.38867454,304469.77344108,4581494.38867454,0.00368729153061525,"NO"
"7","8","2023-03-24T13:59:08.797Z","872.59","213.9","2","0","0","3","[1]","0.97","druid","2023-03-24","07:58:07","2023-03-24 07:58:07","0.89","-5.3374228","41.3616384","7","1.4","821.03","13000003f9","3599","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",8,304490.583703982,4581539.69317655,304490.583703982,4581539.69317655,0.0138487334653141,"NO"
"8","9","2023-03-24T13:59:08.797Z","767.04","295.3","2","0","0","3","[1]","0.82","druid","2023-03-24","08:58:07","2023-03-24 08:58:07","0.87","-5.3377056","41.3604128","8","0.7","715.48","13000003f9","3600","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",9,304463.256912689,4581404.25496346,304463.256912689,4581404.25496346,0.0383692080567964,"NO"
"9","10","2023-03-24T13:59:08.798Z","770.94","0","2","0","0","3","[1]","0.87","druid","2023-03-24","09:58:12","2023-03-24 09:58:12","1.1","-5.3380016","41.3601696","7","0.2","719.38","13000003f9","3605","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",10,304437.767814147,4581377.9208552,304437.767814147,4581377.9208552,0.0101634531423386,"NO"
"10","11","2023-03-24T13:59:08.799Z","934.43","66.1","2","0","0","3","[1]","0.96","druid","2023-03-24","10:58:12","2023-03-24 10:58:12","1.57","-5.3382512","41.3604512","6","0.2","882.87","13000003f9","3600","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",11,304417.732136269,4581409.74976922,304417.732136269,4581409.74976922,0.0104443064609412,"NO"
"11","12","2023-03-24T13:59:08.8Z","943.28","0","2","0","0","2","[1]","0.78","druid","2023-03-24","11:58:12","2023-03-24 11:58:12","0.99","-5.3375188","41.3599232","8","0","891.72","13000003f9","3600","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",12,304477.416590701,4581349.47399038,304477.416590701,4581349.47399038,0.0235561580011738,"NO"
"12","13","2023-03-24T13:59:08.8Z","852.02","272.6","2","0","0","3","[1]","0.75","druid","2023-03-24","12:58:11","2023-03-24 12:58:11","0.92","-5.3372284","41.36","9","3.8","800.46","13000003f9","3599","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",13,304501.938904714,4581357.34575741,304501.938904714,4581357.34575741,0.00715410505794936,"NO"
"13","14","2023-03-24T13:59:11.166Z","874.37","197.1","2","0","0","3","[1]","0.74","druid","2023-03-24","13:58:11","2023-03-24 13:58:11","0.86","-5.337304","41.3600544","9","0.2","822.81","13000003f9","3600","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",14,304495.777776586,4581363.55626065,304495.777776586,4581363.55626065,0.00242936242960271,"NO"
"14","15","2023-03-25T11:59:26.114Z","827.12","316.2","2","0","0","3","[1]","0.76","druid","2023-03-24","14:58:10","2023-03-24 14:58:10","0.95","-5.3372144","41.3603072","9","4.6","775.56","13000003f9","3599","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",15,304504.029913815,4581391.42207173,304504.029913815,4581391.42207173,0.00807278423821894,"NO"
"15","16","2023-03-25T11:59:26.115Z","909.87","0","2","0","0","3","[1]","0.87","druid","2023-03-24","15:58:10","2023-03-24 15:58:10","1.08","-5.3373704","41.3599168","8","0.2","858.31","13000003f9","3600","0","265","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_13007",16,304489.811279601,4581348.42857525,304489.811279601,4581348.42857525,0.0125753026391155,"NO"
