"","X","UUID_reused","Transmitting","Satellite","GPS_time_consumption","Data_source","TAG","Gender","Age","GPS_ini","GPS_end","time_range","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"1","2","130000026f","2022-10-14 21:04:14","8","3","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","02:12:18","2022-09-27 02:12:18","0","-6.4245652","37.085728","0.9","10.82","130000026f","599","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",2,195588.223373061,4109872.04929743,195588.223373061,4109872.04929743,NA,NA
"2","3","130000026f","2022-10-14 21:04:14","8","3","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","02:22:19","2022-09-27 02:22:19","0","-6.42462","37.085568","0.2","-4.44","130000026f","601","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",3,195582.709752719,4109854.46684226,195582.709752719,4109854.46684226,0.0306091121529039,"NO"
"3","4","130000026f","2022-10-14 21:04:14","8","6","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","02:32:21","2022-09-27 02:32:21","0","-6.4252376","37.0856384","0","75.78","130000026f","602","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",4,195528.074826953,4109864.26238242,195528.074826953,4109864.26238242,0.0920499257962306,"NO"
"4","5","130000026f","2022-10-14 21:04:14","11","34","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","02:42:49","2022-09-27 02:42:49","0","-6.4248124","37.085488","0","0.53","130000026f","628","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",5,195565.28113566,4109846.20507252,195565.28113566,4109846.20507252,0.0657499053972779,"NO"
"5","6","130000026f","2022-10-14 21:04:14","9","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","02:52:17","2022-09-27 02:52:17","0","-6.4247824","37.0855488","0.3","11.84","130000026f","568","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",6,195568.192258155,4109852.85695705,195568.192258155,4109852.85695705,0.012760993982442,"NO"
"6","7","130000026f","2022-10-14 21:04:14","9","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","03:02:17","2022-09-27 03:02:17","0","-6.424512","37.0855328","0.3","37.29","130000026f","600","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",7,195592.172126543,4109850.21348088,195592.172126543,4109850.21348088,0.0401416526549425,"NO"
"7","8","130000026f","2022-10-14 21:04:16","8","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","03:12:17","2022-09-27 03:12:17","0","-6.4247484","37.0854368","0","-2.5","130000026f","600","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",8,195570.766946538,4109840.31705074,195570.766946538,4109840.31705074,0.0392383014359226,"NO"
"8","9","130000026f","2022-10-14 21:04:16","9","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","03:22:17","2022-09-27 03:22:17","0","-6.4246648","37.0854304","1.1","4.78","130000026f","600","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",9,195578.175030522,4109839.33846287,195578.175030522,4109839.33846287,0.0124333425301061,"NO"
"9","10","130000026f","2022-10-14 21:04:16","6","1","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","03:32:17","2022-09-27 03:32:17","0","-6.4247532","37.0855072","0.3","13.9","130000026f","600","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",10,195570.622100879,4109848.146102,195570.622100879,4109848.146102,0.0193055572794089,"NO"
"10","11","130000026f","2022-10-14 21:04:16","6","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","03:42:16","2022-09-27 03:42:16","0","-6.4248544","37.0854976","0.7","8.66","130000026f","599","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",11,195561.58494724,4109847.40534504,195561.58494724,4109847.40534504,0.0151124366345218,"NO"
"11","12","130000026f","2022-10-14 21:04:16","6","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","03:52:17","2022-09-27 03:52:17","0","-6.4247604","37.085456","0.9","-4.03","130000026f","601","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",12,195569.776807006,4109842.48655207,195569.776807006,4109842.48655207,0.015872359504767,"NO"
"12","13","130000026f","2022-10-14 21:04:16","6","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","04:02:16","2022-09-27 04:02:16","0","-6.424806","37.0854112","0.1","0.77","130000026f","599","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",13,195565.542614749,4109837.66055492,195565.542614749,4109837.66055492,0.0107002897850633,"NO"
"13","14","130000026f","2022-10-14 21:04:16","6","6","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","04:22:20","2022-09-27 04:22:20","0","-6.4236488","37.0853664","0.1","288.11","130000026f","1204","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",14,195668.261551043,4109828.97552654,195668.261551043,4109828.97552654,0.0855480896347418,"NO"
"14","15","130000026f","2022-10-14 21:04:16","5","6","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","04:32:20","2022-09-27 04:32:20","0","-6.4235884","37.0853056","0.8","294.14","130000026f","600","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",15,195673.388889747,4109822.03362769,195673.388889747,4109822.03362769,0.0143596575994824,"NO"
"15","16","130000026f","2022-10-14 21:04:16","6","10","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","04:42:24","2022-09-27 04:42:24","0","-6.4236048","37.085296","0.1","277.34","130000026f","604","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",16,195671.892161255,4109821.02073774,195671.892161255,4109821.02073774,0.00298718536398769,"NO"
"16","17","130000026f","2022-10-14 21:04:16","12","40","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","04:52:55","2022-09-27 04:52:55","0","-6.4249144","37.0854656","0","8.85","130000026f","631","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",17,195556.121573117,4109844.04622484,195556.121573117,4109844.04622484,0.186769206445082,"NO"
"17","18","130000026f","2022-10-14 21:04:16","10","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","05:02:16","2022-09-27 05:02:16","0","-6.4247732","37.0854112","0.1","-1.89","130000026f","561","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",18,195568.459193761,4109837.55530355,195568.459193761,4109837.55530355,0.0248058878080088,"NO"
"18","19","130000026f","2022-10-14 21:04:16","10","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","05:12:15","2022-09-27 05:12:15","0","-6.424736","37.0854464","0.6","-4.88","130000026f","599","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",19,195571.90800561,4109841.34275868,195571.90800561,4109841.34275868,0.00853735574297517,"NO"
"19","20","130000026f","2022-10-14 21:04:16","10","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","05:22:16","2022-09-27 05:22:16","0","-6.42476","37.0854688","0.1","-9.59","130000026f","601","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",20,195569.8636425,4109843.90593195,195569.8636425,4109843.90593195,0.0054461945386244,"NO"
"20","21","130000026f","2022-10-14 21:04:16","10","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","05:32:16","2022-09-27 05:32:16","0","-6.424756","37.085472","3.9","-1.99","130000026f","600","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",21,195570.23213945,4109844.24826238,195570.23213945,4109844.24826238,0.000836890681723835,"NO"
"21","22","130000026f","2022-10-14 21:04:16","9","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","05:42:16","2022-09-27 05:42:16","0","-6.424764","37.0854144","1","-1.31","130000026f","600","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",22,195569.290075471,4109837.88094786,195569.290075471,4109837.88094786,0.0107098633920836,"NO"
"22","23","130000026f","2022-10-14 21:04:19","7","1","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","05:52:16","2022-09-27 05:52:16","0","-6.4247436","37.0854688","0.7","6.74","130000026f","600","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",23,195571.321930882,4109843.85330682,195571.321930882,4109843.85330682,0.010496716473388,"NO"
"23","24","130000026f","2022-10-14 21:04:19","7","2","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","06:02:15","2022-09-27 06:02:15","0","-6.4247856","37.085456","0.6","-1.8","130000026f","599","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",24,195567.536022026,4109842.56741557,195567.536022026,4109842.56741557,0.00666387903223483,"NO"
"24","25","130000026f","2022-10-14 21:04:19","8","3","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","06:12:17","2022-09-27 06:12:17","0","-6.424774","37.0854144","0.2","-11.3","130000026f","602","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",25,195568.400874596,4109837.9130365,195568.400874596,4109837.9130365,0.00785082657347911,"NO"
"25","26","130000026f","2022-10-14 21:04:19","8","3","1","12035","Female","Adult","2022-09-27","2023-08-05","312","druid","2022-09-27","06:22:16","2022-09-27 06:22:16","0","-6.4247408","37.0854656","0.1","6.85","130000026f","599","0","3032","NO_burst_boost","F","PTS","AD","SUR","Donana","PTS_12035",26,195571.558090147,4109843.48915621,195571.558090147,4109843.48915621,0.0106798253490271,"NO"
