"","X","IdNr","GpsNumber","Longtitude","BatteryVoltage","GpsDescription","Temperature","GPSIntervals","VHFTelemetry","Activity","logger_type","Day","year","Month","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","hdop","altitude","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"13","14","892","48536483956","0,75915","382","SAND07","34","3","A","230","ecotone","11","2019","03","2019-03-11","0:00:00","2019-03-11 10:00:00","0.75915","41.767417","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",14,812480.538983951,4630786.71956577,812480.538983951,4630786.71956577,0.00323910628452715,"NO"
"14","15","893","48536483956","0,759316","382","SAND07","31","3","A","230","ecotone","11","2019","03","2019-03-11","1:00:00","2019-03-11 11:00:00","0.759316","41.767533","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",15,812493.776212249,4630800.2055755,812493.776212249,4630800.2055755,0.0052477094283044,"NO"
"15","16","894","48536483956","0,759466","382","SAND07","33","3","A","230","ecotone","11","2019","03","2019-03-11","2:00:00","2019-03-11 12:00:00","0.759466","41.767367","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",16,812507.053898626,4630782.31686086,812507.053898626,4630782.31686086,0.00618657607944241,"NO"
"16","17","895","48536483956","0,75935","379","SAND07","34","3","A","482","ecotone","11","2019","03","2019-03-11","3:00:00","2019-03-11 13:00:00","0.75935","41.7679","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",17,812494.819088167,4630841.08520376,812494.819088167,4630841.08520376,0.0166699248056345,"NO"
"17","18","896","48536483956","0,7593","379","SAND07","33","3","A","482","ecotone","11","2019","03","2019-03-11","4:00:00","2019-03-11 14:00:00","0.7593","41.767683","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",18,812491.716914274,4630816.80508156,812491.716914274,4630816.80508156,0.00679741630798797,"NO"
"18","19","897","48536483956","0,759116","379","SAND07","32","3","A","482","ecotone","11","2019","03","2019-03-11","5:00:00","2019-03-11 15:00:00","0.759116","41.767683","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",19,812476.419428336,4630816.13555366,812476.419428336,4630816.13555366,0.00425218844875447,"NO"
"19","20","898","48536483956","0,758933","379","SAND07","29","3","A","482","ecotone","11","2019","03","2019-03-11","6:00:00","2019-03-11 16:00:00","0.758933","41.767833","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",20,812460.476071861,4630832.12742397,812460.476071861,4630832.12742397,0.00627093626112523,"NO"
"20","21","899","48536483956","0,713116","374","SAND07","23","3","A","671","ecotone","11","2019","03","2019-03-11","7:00:00","2019-03-11 17:00:00","0.713116","41.773733","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",21,808623.013813036,4631321.64310215,808623.013813036,4631321.64310215,1.07430107012228,"NO"
"21","22","900","48536483956","0,753416","374","SAND07","16","3","A","671","ecotone","12","2019","03","2019-03-12","7:00:00","2019-03-12 07:00:00","0.753416","41.764416","0","0","50400","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",22,812018.384008465,4630432.60605898,812018.384008465,4630432.60605898,0.0696381561193678,"NO"
"22","23","901","48536483956","0,745899","374","SAND07","23","3","A","671","ecotone","12","2019","03","2019-03-12","8:00:00","2019-03-12 08:00:00","0.745899","41.7717","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",23,811358.122995334,4631214.22161911,811358.122995334,4631214.22161911,0.28413369235381,"NO"
"23","24","902","48536483956","0,736749","374","SAND07","28","3","A","671","ecotone","12","2019","03","2019-03-12","9:00:00","2019-03-12 09:00:00","0.736749","41.7827","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",24,810544.301076497,4632402.6498728,810544.301076497,4632402.6498728,0.399991870728141,"NO"
"24","25","903","48536483956","0,720833","383","SAND07","23","3","A","223","ecotone","12","2019","03","2019-03-12","0:00:00","2019-03-12 10:00:00","0.720833","41.775133","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",25,809257.793880384,4631504.87885188,809257.793880384,4631504.87885188,0.435653233353835,"NO"
"25","26","904","48536483956","0,713216","383","SAND07","32","3","A","223","ecotone","12","2019","03","2019-03-12","1:00:00","2019-03-12 11:00:00","0.713216","41.775617","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",26,808622.28097422,4631531.22248263,808622.28097422,4631531.22248263,0.176633900903389,"NO"
"26","27","905","48536483956","0,712933","383","SAND07","34","3","A","223","ecotone","12","2019","03","2019-03-12","2:00:00","2019-03-12 12:00:00","0.712933","41.7746","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",27,808603.638529587,4631417.26656106,808603.638529587,4631417.26656106,0.0320662994629231,"NO"
"27","28","906","48536483956","0,713383","383","SAND07","36","3","A","223","ecotone","12","2019","03","2019-03-12","3:00:00","2019-03-12 13:00:00","0.713383","41.774217","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",28,808642.885613797,4631376.35140305,808642.885613797,4631376.35140305,0.0157443864898894,"NO"
"28","29","907","48536483956","0,713366","372","SAND07","37","3","A","801","ecotone","12","2019","03","2019-03-12","4:00:00","2019-03-12 14:00:00","0.713366","41.774983","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",29,808637.794388015,4631461.35532004,808637.794388015,4631461.35532004,0.023647944314958,"NO"
"29","30","908","48536483956","0,7133","372","SAND07","39","3","A","801","ecotone","12","2019","03","2019-03-12","5:00:00","2019-03-12 15:00:00","0.7133","41.774833","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",30,808633.02813472,4631444.46045546,808633.02813472,4631444.46045546,0.00487484167559148,"NO"
"30","31","909","48536483956","0,5662","372","SAND07","23","3","A","801","ecotone","12","2019","03","2019-03-12","6:00:00","2019-03-12 16:00:00","0.5662","41.708583","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",31,796710.164885045,4623569.28722197,796710.164885045,4623569.28722197,3.96804013838644,"NO"
"31","32","910","48536483956","0,5582","372","SAND07","22","3","A","801","ecotone","12","2019","03","2019-03-12","7:00:00","2019-03-12 17:00:00","0.5582","41.704016","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",32,796065.442124687,4623034.55800334,796065.442124687,4623034.55800334,0.232606864794389,"NO"
"32","33","911","48536483956","0,5632","377","SAND07","11","3","A","755","ecotone","13","2019","03","2019-03-13","7:00:00","2019-03-13 07:00:00","0.5632","41.700116","0","0","50400","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",33,796499.477799813,4622618.69641491,796499.477799813,4622618.69641491,0.0119264598896096,"NO"
"33","34","912","48536483956","0,563333","377","SAND07","16","3","A","755","ecotone","13","2019","03","2019-03-13","8:00:00","2019-03-13 08:00:00","0.563333","41.700316","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",34,796509.626541839,4622641.36453503,796509.626541839,4622641.36453503,0.00689704986985071,"NO"
"34","35","913","48536483956","0,5635","377","SAND07","19","3","A","755","ecotone","13","2019","03","2019-03-13","9:00:00","2019-03-13 09:00:00","0.5635","41.700366","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",35,796523.294884809,4622647.49270062,796523.294884809,4622647.49270062,0.00415974805749067,"NO"
"35","36","914","48536483956","0,563983","377","SAND07","22","3","A","755","ecotone","13","2019","03","2019-03-13","0:00:00","2019-03-13 10:00:00","0.563983","41.698983","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",36,796569.855183836,4622495.57874017,796569.855183836,4622495.57874017,0.0441235754780146,"NO"
"36","37","915","48536483956","0,5635","383","SAND07","22","3","A","608","ecotone","13","2019","03","2019-03-13","1:00:00","2019-03-13 11:00:00","0.5635","41.699199","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",37,796528.66359357,4622517.89971603,796528.66359357,4622517.89971603,0.0130104248049019,"NO"
"37","38","916","48536483956","0,563883","383","SAND07","26","3","A","608","ecotone","13","2019","03","2019-03-13","2:00:00","2019-03-13 12:00:00","0.563883","41.698666","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",38,796562.991102953,4622460.03171593,796562.991102953,4622460.03171593,0.0186846997413746,"NO"
"38","39","917","48536483956","0,563833","383","SAND07","31","3","A","608","ecotone","13","2019","03","2019-03-13","3:00:00","2019-03-13 13:00:00","0.563833","41.698699","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",39,796558.677982752,4622463.52389328,796558.677982752,4622463.52389328,0.00154113367688324,"NO"
"39","40","918","48536483956","0,563433","383","SAND07","26","3","A","608","ecotone","13","2019","03","2019-03-13","4:00:00","2019-03-13 14:00:00","0.563433","41.699949","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",40,796519.637257226,4622600.95469489,796519.637257226,4622600.95469489,0.0396746690267527,"NO"
"40","41","919","48536483956","0,55935","370","SAND07","26","3","A","703","ecotone","13","2019","03","2019-03-13","5:03:00","2019-03-13 15:03:00","0.55935","41.703616","0","0","3780","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",41,796162.982049645,4622994.09855669,796162.982049645,4622994.09855669,0.140390225261952,"NO"
"41","42","920","48536483956","0,5601","370","SAND07","21","3","A","703","ecotone","13","2019","03","2019-03-13","6:00:00","2019-03-13 16:00:00","0.5601","41.7031","0","0","3420","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",42,796227.768353178,4622939.38093058,796227.768353178,4622939.38093058,0.0247884937416649,"NO"
"42","43","921","48536483956","0,5597","370","SAND07","19","3","A","703","ecotone","13","2019","03","2019-03-13","7:00:00","2019-03-13 17:00:00","0.5597","41.703316","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",43,796193.487609095,4622961.98955811,796193.487609095,4622961.98955811,0.0114037267839975,"NO"
"43","44","922","48536483956","0,55935","370","SAND07","15","3","A","703","ecotone","14","2019","03","2019-03-14","7:00:00","2019-03-14 07:00:00","0.55935","41.70315","0","0","50400","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",44,796165.123500417,4622942.35020807,796165.123500417,4622942.35020807,0.000684503536980307,"NO"
"44","45","923","48536483956","0,563483","381","SAND07","28","3","A","1454","ecotone","14","2019","03","2019-03-14","2:00:00","2019-03-14 12:00:00","0.563483","41.699616","0","0","18000","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",45,796525.330406666,4622564.1481069,796525.330406666,4622564.1481069,0.0290144460415006,"NO"
"45","46","924","48536483956","0,563833","381","SAND07","28","3","A","1454","ecotone","14","2019","03","2019-03-14","3:00:00","2019-03-14 13:00:00","0.563833","41.699849","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",46,796553.387038505,4622591.22906068,796553.387038505,4622591.22906068,0.0108287320998716,"NO"
"46","47","925","48536483956","0,5638","381","SAND07","29","3","A","1454","ecotone","14","2019","03","2019-03-14","4:00:00","2019-03-14 14:00:00","0.5638","41.699716","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",47,796551.252544104,4622576.34589287,796551.252544104,4622576.34589287,0.00417535401014831,"NO"
"47","48","926","48536483956","0,564766","381","SAND07","27","3","A","1454","ecotone","14","2019","03","2019-03-14","5:00:00","2019-03-14 15:00:00","0.564766","41.700066","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",48,796630.036722115,4622618.54397662,796630.036722115,4622618.54397662,0.0248190818790966,"NO"
"48","49","927","48536483956","0,563633","372","SAND07","24","3","A","870","ecotone","14","2019","03","2019-03-14","6:08:00","2019-03-14 16:08:00","0.563633","41.70085","0","0","4080","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",49,796532.136905428,4622701.69848936,796532.136905428,4622701.69848936,0.0314747896500181,"NO"
"49","50","928","48536483956","0,559033","372","SAND07","21","3","A","870","ecotone","14","2019","03","2019-03-14","7:00:00","2019-03-14 17:00:00","0.559033","41.702766","0","0","3120","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",50,796140.507203527,4622898.61616075,796140.507203527,4622898.61616075,0.14045165774906,"NO"
"50","51","929","48536483956","0,5625","372","SAND07","14","3","A","870","ecotone","15","2019","03","2019-03-15","7:00:00","2019-03-15 07:00:00","0.5625","41.699549","0","0","50400","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",51,796443.828708794,4622553.31921553,796443.828708794,4622553.31921553,0.00911890459088458,"NO"
"51","52","930","48536483956","0,5624","372","SAND07","19","3","A","870","ecotone","15","2019","03","2019-03-15","8:00:00","2019-03-15 08:00:00","0.5624","41.699883","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",52,796433.970167008,4622590.06455761,796433.970167008,4622590.06455761,0.010565080602032,"NO"
"52","53","931","48536483956","0,563933","379","SAND07","35","3","A","486","ecotone","15","2019","03","2019-03-15","2:00:00","2019-03-15 12:00:00","0.563933","41.699399","0","0","14400","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",53,796563.779917124,4622541.60228598,796563.779917124,4622541.60228598,0.00962162657433197,"NO"
"53","54","932","48536483956","0,56385","379","SAND07","35","3","A","486","ecotone","15","2019","03","2019-03-15","2:59:00","2019-03-15 12:59:00","0.56385","41.699399","0","0","3540","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",54,796556.872246384,4622541.31608933,796556.872246384,4622541.31608933,0.00195244196734891,"NO"
"54","55","933","48536483956","0,564066","379","SAND07","35","3","A","486","ecotone","15","2019","03","2019-03-15","3:00:00","2019-03-15 13:00:00","0.564066","41.699699","0","0","60","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",55,796573.46849113,4622575.37529765,796573.46849113,4622575.37529765,0.621107066865915,"NO"
"55","56","934","48536483956","0,563766","379","SAND07","35","3","A","486","ecotone","15","2019","03","2019-03-15","4:00:00","2019-03-15 14:00:00","0.563766","41.699483","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",56,796549.494887815,4622550.35448103,796549.494887815,4622550.35448103,0.00962293789329824,"NO"
"56","57","935","48536483956","0,564183","371","SAND07","37","3","A","1093","ecotone","15","2019","03","2019-03-15","5:00:00","2019-03-15 15:00:00","0.564183","41.699366","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",57,796584.7379971,4622538.79978123,796584.7379971,4622538.79978123,0.0102996162223599,"NO"
"57","58","936","48536483956","0,563383","371","SAND07","31","3","A","1093","ecotone","15","2019","03","2019-03-15","6:00:00","2019-03-15 16:00:00","0.563383","41.699316","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",58,796518.388017108,4622530.48894554,796518.388017108,4622530.48894554,0.0185694117507191,"NO"
"58","59","937","48536483956","0,56385","371","SAND07","29","3","A","1093","ecotone","15","2019","03","2019-03-15","7:00:00","2019-03-15 17:00:00","0.56385","41.699183","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",59,796557.866028826,4622517.32972735,796557.866028826,4622517.32972735,0.0115560790137192,"NO"
"59","60","938","48536483956","0,558966","371","SAND07","18","3","A","1093","ecotone","16","2019","03","2019-03-16","7:00:00","2019-03-16 07:00:00","0.558966","41.70605","0","0","50400","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",60,796119.841502033,4623263.06696755,796119.841502033,4623263.06696755,0.0171596569955548,"NO"
"60","61","939","48536483956","0,56305","378","SAND07","36","3","A","1089","ecotone","16","2019","03","2019-03-16","2:00:00","2019-03-16 12:00:00","0.56305","41.7001","0","0","18000","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",61,796487.067796103,4622616.40253459,796487.067796103,4622616.40253459,0.0413121435099689,"NO"
"61","62","940","48536483956","0,563183","378","SAND07","38","3","A","1089","ecotone","16","2019","03","2019-03-16","3:00:00","2019-03-16 13:00:00","0.563183","41.699933","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",62,796498.904800266,4622598.3160289,796498.904800266,4622598.3160289,0.00600268000926159,"NO"
"62","63","941","48536483956","0,5588","378","SAND07","39","3","A","1089","ecotone","16","2019","03","2019-03-16","4:00:00","2019-03-16 14:00:00","0.5588","41.703483","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",63,796117.822452757,4622977.43523378,796117.822452757,4622977.43523378,0.149276719006219,"NO"
"63","64","942","48536483956","0,5587","378","SAND07","40","3","A","1089","ecotone","16","2019","03","2019-03-16","5:00:00","2019-03-16 15:00:00","0.5587","41.70345","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",64,796109.65211237,4622973.42632947,796109.65211237,4622973.42632947,0.00252731651240204,"NO"
"64","65","943","48536483956","0,558733","372","SAND07","38","3","A","1033","ecotone","16","2019","03","2019-03-16","6:00:00","2019-03-16 16:00:00","0.558733","41.703266","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",65,796113.24376473,4622953.10713191,796113.24376473,4622953.10713191,0.00573012746816877,"NO"
"65","66","944","48536483956","0,564883","372","SAND07","31","3","A","1033","ecotone","16","2019","03","2019-03-16","7:00:00","2019-03-16 17:00:00","0.564883","41.698816","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",66,796645.526686038,4622480.13753219,796645.526686038,4622480.13753219,0.197738718667927,"NO"
"66","67","945","48536483956","0,557533","372","SAND07","21","3","A","1033","ecotone","17","2019","03","2019-03-17","7:00:00","2019-03-17 07:00:00","0.557533","41.703416","0","0","50400","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",67,796012.690952616,4622965.63318061,796012.690952616,4622965.63318061,0.015825348134703,"NO"
"67","68","946","48536483956","0,56105","372","SAND07","22","3","A","1033","ecotone","17","2019","03","2019-03-17","8:00:00","2019-03-17 08:00:00","0.56105","41.703333","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",68,796305.756233821,4622968.52784592,796305.756233821,4622968.52784592,0.0813883855748473,"NO"
"68","69","947","48536483956","0,5607","385","SAND07","30","3","A","481","ecotone","17","2019","03","2019-03-17","9:00:00","2019-03-17 09:00:00","0.5607","41.70315","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",69,796277.470569372,4622947.00021854,796277.470569372,4622947.00021854,0.00987114470773167,"NO"
"69","70","948","48536483956","0,56425","385","SAND07","34","3","A","481","ecotone","17","2019","03","2019-03-17","0:00:00","2019-03-17 10:00:00","0.56425","41.699866","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",70,796588.013375722,4622594.5548193,796588.013375722,4622594.5548193,0.130446780688399,"NO"
"70","71","949","48536483956","0,563766","385","SAND07","29","3","A","481","ecotone","17","2019","03","2019-03-17","1:00:00","2019-03-17 11:00:00","0.563766","41.699166","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",71,796550.953322047,4622515.15227412,796550.953322047,4622515.15227412,0.0243336311868046,"NO"
"71","72","950","48536483956","0,563783","385","SAND07","31","3","A","481","ecotone","17","2019","03","2019-03-17","2:00:00","2019-03-17 12:00:00","0.563783","41.699116","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",72,796552.598188497,4622509.65849226,796552.598188497,4622509.65849226,0.00159254052275108,"NO"
"72","73","951","48536483956","0,5639","383","SAND07","35","3","A","858","ecotone","17","2019","03","2019-03-17","3:00:00","2019-03-17 13:00:00","0.5639","41.699449","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",73,796560.803447737,4622547.04089487,796560.803447737,4622547.04089487,0.0106282470763889,"NO"
"73","74","952","48536483956","0,563416","383","SAND07","31","3","A","858","ecotone","17","2019","03","2019-03-17","4:00:00","2019-03-17 14:00:00","0.563416","41.699166","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",74,796521.824485509,4622513.94552396,796521.824485509,4622513.94552396,0.0141998823196234,"NO"
"74","75","953","48536483956","0,555866","383","SAND07","32","3","A","858","ecotone","17","2019","03","2019-03-17","5:00:00","2019-03-17 15:00:00","0.555866","41.704266","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",75,795870.061479327,4623054.28738084,795870.061479327,4623054.28738084,0.235106736655602,"NO"
"75","76","954","48536483956","0,555383","383","SAND07","30","3","A","858","ecotone","17","2019","03","2019-03-17","6:00:00","2019-03-17 16:00:00","0.555383","41.704083","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",76,795830.706943737,4623032.30399758,795830.706943737,4623032.30399758,0.0125182587797361,"NO"
"76","77","955","48536483956","0,560266","375","SAND07","23","3","A","964","ecotone","17","2019","03","2019-03-17","7:02:00","2019-03-17 17:02:00","0.560266","41.70315","0","0","3720","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",77,796241.353065139,4622945.50513338,796241.353065139,4622945.50513338,0.112797443419145,"NO"
"77","78","956","48536483956","0,558916","375","SAND07","18","3","A","964","ecotone","18","2019","03","2019-03-18","7:00:00","2019-03-18 07:00:00","0.558916","41.702316","0","0","50280","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",78,796132.838038012,4622848.24170569,796132.838038012,4622848.24170569,0.00289820589675726,"NO"
"78","79","957","48536483956","0,557283","375","SAND07","22","3","A","964","ecotone","18","2019","03","2019-03-18","8:00:00","2019-03-18 08:00:00","0.557283","41.703183","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",79,795992.956132702,4622938.89853418,795992.956132702,4622938.89853418,0.0462899626851627,"NO"
"79","80","958","48536483956","0,56425","375","SAND07","26","3","A","964","ecotone","18","2019","03","2019-03-18","9:00:00","2019-03-18 09:00:00","0.56425","41.699783","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",80,796588.395292831,4622585.33783663,796588.395292831,4622585.33783663,0.192307032695332,"NO"
"80","81","959","48536483956","0,562283","384","SAND07","30","3","A","1121","ecotone","18","2019","03","2019-03-18","2:00:00","2019-03-18 12:00:00","0.562283","41.7006","0","0","10800","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",81,796420.935510771,4622669.28268748,796420.935510771,4622669.28268748,0.0173430200643697,"NO"
