"","X","IdNr","GpsNumber","Longtitude","BatteryVoltage","GpsDescription","Temperature","GPSIntervals","VHFTelemetry","Activity","logger_type","Day","year","Month","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","hdop","altitude","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"3","4","882","48536483956","0,742833","370","SAND07","17","3","A","545","ecotone","10","2019","03","2019-03-10","7:00:00","2019-03-10 07:00:00","0.742833","41.76585","0","0","50400","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",4,811131.546535421,4630553.45919855,811131.546535421,4630553.45919855,0.0658990633133306,"NO"
"4","5","883","48536483956","0,743249","376","SAND07","33","3","A","775","ecotone","10","2019","03","2019-03-10","2:00:00","2019-03-10 12:00:00","0.743249","41.765266","0","0","18000","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",5,811168.95934511,4630490.11243315,811168.95934511,4630490.11243315,0.00408698992459764,"NO"
"5","6","884","48536483956","0,743883","376","SAND07","35","3","A","775","ecotone","10","2019","03","2019-03-10","3:00:00","2019-03-10 13:00:00","0.743883","41.7642","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",6,811226.830750074,4630374.02909318,811226.830750074,4630374.02909318,0.0360202899712111,"NO"
"6","7","885","48536483956","0,744233","376","SAND07","36","3","A","775","ecotone","10","2019","03","2019-03-10","4:00:00","2019-03-10 14:00:00","0.744233","41.763866","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",7,811257.547526608,4630338.20636339,811257.547526608,4630338.20636339,0.0131043760386416,"NO"
"7","8","886","48536483956","0,744033","376","SAND07","33","3","A","775","ecotone","10","2019","03","2019-03-10","5:00:00","2019-03-10 15:00:00","0.744033","41.7638","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",8,811241.238330262,4630330.15217187,811241.238330262,4630330.15217187,0.0050512508533758,"NO"
"8","9","887","48536483956","0,743883","373","SAND07","30","3","A","795","ecotone","10","2019","03","2019-03-10","6:00:00","2019-03-10 16:00:00","0.743883","41.76405","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",9,811227.556779061,4630357.37140466,811227.556779061,4630357.37140466,0.00845994600752323,"NO"
"9","10","888","48536483956","0,743899","373","SAND07","25","3","A","795","ecotone","10","2019","03","2019-03-10","7:00:00","2019-03-10 17:00:00","0.743899","41.764","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",10,811229.129078234,4630351.87682284,811229.129078234,4630351.87682284,0.00158709144096495,"NO"
"10","11","889","48536483956","0,743783","373","SAND07","21","3","A","795","ecotone","11","2019","03","2019-03-11","7:00:00","2019-03-11 07:00:00","0.743783","41.76425","0","0","50400","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",11,811218.274460012,4630379.21928034,811218.274460012,4630379.21928034,0.00058368361457666,"NO"
"11","12","890","48536483956","0,743933","373","SAND07","25","3","A","795","ecotone","11","2019","03","2019-03-11","8:00:00","2019-03-11 08:00:00","0.743933","41.764516","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",12,811229.458364756,4630409.30248284,811229.458364756,4630409.30248284,0.00891275775555338,"NO"
"12","13","891","48536483956","0,759066","382","SAND07","26","3","A","230","ecotone","11","2019","03","2019-03-11","9:00:00","2019-03-11 09:00:00","0.759066","41.767333","0","0","3600","0","762","NO_burst_boost","F","BBS","AD","VEBRO","CAT","BBS_SAND07",13,812473.96357686,4630777.08559335,812473.96357686,4630777.08559335,0.360375580128784,"NO"
