"","X","Quality","Day","Month","Year","Hr","Min","Outlier","logger_type","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","altitude","hdop","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"1","2","1","23","02","2009","21","46","0","argos","2009-02-23","21:46:12","2009-02-23 21:46:12","-3.853333333","39.07138889","0.654","0","183150","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",2,426182.112746371,4325045.21879201,426182.112746371,4325045.21879201,NA,NA
"2","3","1","26","02","2009","15","14","0","argos","2009-02-26","15:14:48","2009-02-26 15:14:48","-3.828611111","39.07472222","0.659","0","235716","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",3,428324.120561779,4325395.34830739,428324.120561779,4325395.34830739,0.009207800099392,"NO"
"3","4","1","28","02","2009","19","43","0","argos","2009-02-28","19:43:44","2009-02-28 19:43:44","-3.840277778","39.06833333","0.657","0","188936","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",4,427308.370361177,4324695.60687863,427308.370361177,4324695.60687863,0.0065283400682665,"NO"
"4","5","2","28","02","2009","23","21","0","argos","2009-02-28","23:21:45","2009-02-28 23:21:45","-3.845555556","39.07277778","0.655","0","13081","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",5,426856.375968172,4325193.06315416,426856.375968172,4325193.06315416,0.0513783968371766,"NO"
"5","6","3","28","02","2009","23","40","0","argos","2009-02-28","23:40:30","2009-02-28 23:40:30","-3.833611111","39.07777778","0.656","0","1125","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",6,427894.718179879,4325738.39389004,427894.718179879,4325738.39389004,1.04159346570225,"NO"
"6","7","1","03","03","2009","6","55","0","argos","2009-03-03","06:55:04","2009-03-03 06:55:04","-3.846944444","39.07194444","0.655","0","198874","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",7,426735.368591781,4325101.70185091,426735.368591781,4325101.70185091,0.00665078389117289,"NO"
"7","8","2","05","03","2009","23","17","0","argos","2009-03-05","23:17:37","2009-03-05 23:17:37","-3.845555556","39.07416667","0.655","0","231753","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",8,426857.809815345,4325347.19520516,426857.809815345,4325347.19520516,0.00118372691356544,"NO"
"8","9","3","05","03","2009","23","25","0","argos","2009-03-05","23:25:08","2009-03-05 23:25:08","-3.846944444","39.07388889","0.655","0","451","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",9,426737.379255673,4325317.48716209,426737.379255673,4325317.48716209,0.274426258496026,"NO"
"9","10","2","10","03","2009","18","48","0","argos","2009-03-10","18:48:13","2009-03-10 18:48:13","-3.8275","39.08222222","0.659","0","415385","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",10,428427.812641691,4326226.78498617,428427.812641691,4326226.78498617,0.00462094499322762,"NO"
"10","11","2","10","03","2009","23","16","0","argos","2009-03-10","23:16:09","2009-03-10 23:16:09","-3.841944444","39.07861111","0.655","0","16076","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",11,427174.751658117,4325837.51727342,427174.751658117,4325837.51727342,0.0816154943747654,"NO"
"11","12","1","13","03","2009","4","30","0","argos","2009-03-13","04:30:50","2009-03-13 04:30:50","-3.849166667","39.07444444","0.655","0","191681","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",12,426545.724982399,4325380.93290402,426545.724982399,4325380.93290402,0.00405498120468893,"NO"
"12","13","2","15","03","2009","18","26","0","argos","2009-03-15","18:26:59","2009-03-15 18:26:59","-3.832777778","39.05","0.662","0","222969","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",13,427938.562840201,4322655.10133661,427938.562840201,4322655.10133661,0.0137286222194434,"NO"
"13","14","1","15","03","2009","23","8","0","argos","2009-03-15","23:08:39","2009-03-15 23:08:39","-3.840833333","39.05611111","0.658","0","16900","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",14,427247.764807027,4323339.69347808,427247.764807027,4323339.69347808,0.0575443831294389,"NO"
"14","15","1","20","03","2009","18","7","0","argos","2009-03-20","18:07:25","2009-03-20 18:07:25","-3.846111111","39.07583333","0.656","0","413926","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",15,426811.474304328,4325532.6000488,426811.474304328,4325532.6000488,0.00540164459537662,"NO"
"15","16","2","20","03","2009","19","7","0","argos","2009-03-20","19:07:11","2009-03-20 19:07:11","-3.841944444","39.06166667","0.657","0","3586","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",16,427157.334720328,4323957.10966607,427157.334720328,4323957.10966607,0.449681158451302,"NO"
"16","17","3","30","03","2009","12","39","0","argos","2009-03-30","12:39:20","2009-03-30 12:39:20","-3.843055556","39.05","0.660","0","840729","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",17,427049.198888678,4322663.29594712,427049.198888678,4322663.29594712,0.00155092375652046,"NO"
"17","18","2","30","03","2009","15","40","0","argos","2009-03-30","15:40:55","2009-03-30 15:40:55","-3.833611111","39.05166667","0.661","0","10895","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",18,427868.147774317,4322840.71987992,427868.147774317,4322840.71987992,0.0769041674167808,"NO"
"18","19","3","01","04","2009","23","56","0","argos","2009-04-01","23:56:38","2009-04-01 23:56:38","-3.827777778","39.05333333","0.661","0","202543","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",19,428374.59346976,4323021.06566993,428374.59346976,4323021.06566993,0.00265422930445281,"NO"
"19","20","1","02","04","2009","1","0","0","argos","2009-04-02","01:00:25","2009-04-02 01:00:25","-3.828055556","39.04305556","0.667","0","3827","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",20,428340.172608754,4321880.71501767,428340.172608754,4321880.71501767,0.29803292095714,"NO"
"20","21","3","04","04","2009","12","35","0","argos","2009-04-04","12:35:58","2009-04-04 12:35:58","-3.831388889","39.04583333","0.664","0","214533","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",21,428054.520010987,4322191.60785142,428054.520010987,4322191.60785142,0.00196798046837312,"NO"
"21","22","2","04","04","2009","16","28","0","argos","2009-04-04","16:28:23","2009-04-04 16:28:23","-3.823888889","39.01555556","0.666","0","13945","0","120","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_90068",22,428673.124603827,4318825.65443581,428673.124603827,4318825.65443581,0.245398381108841,"NO"
