"","X","Quality","Day","Month","Year","Hr","Min","Outlier","logger_type","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","altitude","hdop","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"19","20","2","13","03","2011","22","6","0","argos","2011-03-13","22:06:55","2011-03-13 22:06:55","-3.9125","38.8775","0.648","0","2388","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",20,420848.24131381,4303578.39467744,420848.24131381,4303578.39467744,0.540125006856879,"NO"
"20","21","1","16","03","2011","3","24","0","argos","2011-03-16","03:24:22","2011-03-16 03:24:22","-3.906944444","38.87694444","0.647","0","191847","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",21,421329.5355135,4303511.94027446,421329.5355135,4303511.94027446,0.002532527652384,"NO"
"21","22","1","18","03","2011","9","51","0","argos","2011-03-18","09:51:14","2011-03-18 09:51:14","-3.922777778","38.87222222","0.657","0","196012","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",22,419950.792701998,4303001.67285802,419950.792701998,4303001.67285802,0.00750020460188556,"NO"
"22","23","3","18","03","2011","10","41","0","argos","2011-03-18","10:41:06","2011-03-18 10:41:06","-3.908055556","38.87638889","0.649","0","2992","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",23,421232.540046385,4303451.24817984,421232.540046385,4303451.24817984,0.453827479068162,"NO"
"23","24","1","18","03","2011","18","30","0","argos","2011-03-18","18:30:40","2011-03-18 18:30:40","-3.896666667","38.88583333","0.664","0","28174","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",24,422230.76030985,4304489.54765818,422230.76030985,4304489.54765818,0.051120346561781,"NO"
"24","25","3","18","03","2011","19","38","0","argos","2011-03-18","19:38:10","2011-03-18 19:38:10","-3.917777778","38.87972222","0.642","0","4050","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",25,420392.909369386,4303829.58844412,420392.909369386,4303829.58844412,0.482042083148583,"NO"
"25","26","2","20","03","2011","20","57","0","argos","2011-03-20","20:57:56","2011-03-20 20:57:56","-3.935277778","38.86444444","0.680","0","177586","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",26,418857.578850431,4302149.59466196,418857.578850431,4302149.59466196,0.0128155642769663,"NO"
"26","27","3","20","03","2011","21","22","0","argos","2011-03-20","21:22:19","2011-03-20 21:22:19","-3.937222222","38.86305556","0.679","0","1463","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",27,418687.298313346,4301997.19822272,418687.298313346,4301997.19822272,0.156091021428621,"NO"
"27","28","3","20","03","2011","22","4","0","argos","2011-03-20","22:04:52","2011-03-20 22:04:52","-3.933055556","38.86444444","0.679","0","2553","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",28,419050.377084295,4302147.62204194,419050.377084295,4302147.62204194,0.153878523768053,"NO"
"28","29","2","20","03","2011","23","2","0","argos","2011-03-20","23:02:35","2011-03-20 23:02:35","-3.934444444","38.86527778","0.680","0","3463","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",29,418930.824728337,4302241.33151092,418930.824728337,4302241.33151092,0.043851628779643,"NO"
