"","X","id_datoGPS","id_emisor","Especie","Fecha_D.M.Y","Hora_H.M.S","Fecha_hora","Lat","Lon","KM.H","T_GPS","Bateria","Bat_2","temperatura","logger_type","year","month","day","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","device_id","speed_km_h","hdop","altitude","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"3","4","29","CIP02","PTEALC","1/12/16","05:01:00","1-12-16 5:01","41,550983","0,637983","0,3","24","3,87","","99","pica","2016","12","01","2016-12-01","05:01:00","2016-12-01 05:01:00","0.637983","41.550983","PTS_CIP02","0,3","0","0","28260","0","1143","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP02",4,803422.685704072,4606318.27907573,803422.685704072,4606318.27907573,0.0579515606312542,"NO"
"4","5","30","CIP02","PTEALC","1/12/16","06:01:00","1-12-16 6:01","41,550967","0,638","0,1","10","3,88","","99","pica","2016","12","01","2016-12-01","06:01:00","2016-12-01 06:01:00","0.638","41.550967","PTS_CIP02","0,1","0","0","3600","0","1143","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP02",5,803424.178734676,4606316.56212366,803424.178734676,4606316.56212366,0.000631856820625477,"NO"
"5","6","31","CIP02","PTEALC","1/12/16","07:01:00","1-12-16 7:01","41,551233","0,638167","0,5","7","3,9","","99","pica","2016","12","01","2016-12-01","07:01:00","2016-12-01 07:01:00","0.638167","41.551233","PTS_CIP02","0,5","0","0","3600","0","1143","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP02",6,803436.863714558,4606346.68821248,803436.863714558,4606346.68821248,0.00907741305415284,"NO"
"6","7","32","CIP02","PTEALC","1/12/16","08:02:00","1-12-16 8:02","41,550983","0,63795","0","29","3,89","","99","pica","2016","12","01","2016-12-01","08:02:00","2016-12-01 08:02:00","0.63795","41.550983","PTS_CIP02","0","0","0","3660","0","1143","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP02",7,803419.932920926,4606318.16298516,803419.932920926,4606318.16298516,0.00906074261858288,"NO"
"7","8","33","CIP02","PTEALC","1/12/16","09:02:00","1-12-16 9:02","41,550883","0,637983","0,6","8","3,91","","99","pica","2016","12","01","2016-12-01","09:02:00","2016-12-01 09:02:00","0.637983","41.550883","PTS_CIP02","0,6","0","0","3600","0","1143","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP02",8,803423.154015176,4606307.17434639,803423.154015176,4606307.17434639,0.00317995279332284,"NO"
"8","9","34","CIP02","PTEALC","1/12/16","10:02:00","1-12-16 10:02","41,551033","0,63815","0,4","8","3,9","","99","pica","2016","12","01","2016-12-01","10:02:00","2016-12-01 10:02:00","0.63815","41.551033","PTS_CIP02","0,4","0","0","3600","0","1143","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP02",9,803436.382288649,4606324.41894539,803436.382288649,4606324.41894539,0.00603552432892767,"NO"
"9","10","35","CIP02","PTEALC","1/12/16","11:03:00","1-12-16 11:03","41,550917","0,638233","0,1","9","3,92","","99","pica","2016","12","01","2016-12-01","11:03:00","2016-12-01 11:03:00","0.638233","41.550917","PTS_CIP02","0,1","0","0","3660","0","1143","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP02",10,803443.849228982,4606311.82946241,803443.849228982,4606311.82946241,0.00399816736304034,"NO"
"10","11","36","CIP02","PTEALC","1/12/16","12:03:00","1-12-16 12:03","41,550967","0,637983","0,3","15","3,91","","99","pica","2016","12","01","2016-12-01","12:03:00","2016-12-01 12:03:00","0.637983","41.550967","PTS_CIP02","0,3","0","0","3600","0","1143","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP02",11,803422.760633911,4606316.50231903,803422.760633911,4606316.50231903,0.00599836227950738,"NO"
"11","12","37","CIP02","PTEALC","1/12/16","13:04:00","1-12-16 13:04","41,550833","0,638217","0,1","26","3,91","","99","pica","2016","12","01","2016-12-01","13:04:00","2016-12-01 13:04:00","0.638217","41.550833","PTS_CIP02","0,1","0","0","3660","0","1143","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP02",12,803442.907951093,4606302.4451992,803442.907951093,4606302.4451992,0.0067103477584128,"NO"
"12","14","40","CIP02","PTEALC","1/12/16","14:04:00","1-12-16 14:04","41,538817","0,641517","0,4","5","3,92","","99","pica","2016","12","01","2016-12-01","14:04:00","2016-12-01 14:04:00","0.641517","41.538817","PTS_CIP02","0,4","0","0","360","0","1143","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP02",14,803774.507264694,4604979.7162753,803774.507264694,4604979.7162753,0.378689386912448,"NO"
"13","17","44","CIP02","PTEALC","1/12/16","15:04:00","1-12-16 15:04","41,539283","0,640383","0,1","5","3,93","","99","pica","2016","12","01","2016-12-01","15:04:00","2016-12-01 15:04:00","0.640383","41.539283","PTS_CIP02","0,1","0","0","2700","0","1143","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP02",17,803677.710513273,4605027.47189525,803677.710513273,4605027.47189525,0.0299739350240995,"NO"
