"","X","Transmitting.time","Geoid.height","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"2","3","2022-02-25T07:58:17.683Z","531.4","72.1","2","0","0","3","1","0.84","druid","2022-02-25","00:57:39","2022-02-25 00:57:39","0.96","-5.3153368","38.8307488","9","3.3","480.36","d3a5779692a6","3578","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",3,299022.347982751,4300541.83930014,299022.347982751,4300541.83930014,0.00319297188259728,"NO"
"3","4","2022-02-25T07:58:17.684Z","521.88","224.4","2","0","0","3","1","0.76","druid","2022-02-25","01:57:38","2022-02-25 01:57:38","0.91","-5.3153588","38.8307968","9","0.3","470.84","d3a5779692a6","3599","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",4,299020.57315906,4300547.21511533,299020.57315906,4300547.21511533,0.00157256052758815,"NO"
"4","5","2022-02-25T07:58:17.685Z","494.82","319.5","2","0","0","17","1","0.8","druid","2022-02-25","02:57:53","2022-02-25 02:57:53","0.8","-5.31541","38.830848","10","0","443.78","d3a5779692a6","3615","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",5,299016.272407146,4300553.01035825,299016.272407146,4300553.01035825,0.00199577931751747,"NO"
"5","6","2022-02-25T07:58:17.686Z","517.17","0","2","0","0","26","1","0.81","druid","2022-02-25","03:58:01","2022-02-25 03:58:01","0.98","-5.3151936","38.830848","8","0","466.13","d3a5779692a6","3608","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",6,299035.05870699,4300552.5340938,299035.05870699,4300552.5340938,0.00520707562445392,"NO"
"6","7","2022-02-25T07:58:17.687Z","531.25","340.3","2","0","0","3","1","0.97","druid","2022-02-25","04:57:37","2022-02-25 04:57:37","1.44","-5.315334","38.8308224","6","0.3","480.22","d3a5779692a6","3576","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",7,299022.79815133,4300550.00181077,299022.79815133,4300550.00181077,0.00349995313066882,"NO"
"7","8","2022-02-25T07:58:17.688Z","429.65","0","2","0","0","3","1","0.83","druid","2022-02-25","05:57:37","2022-02-25 05:57:37","1.11","-5.3153828","38.8309696","7","0.2","378.62","d3a5779692a6","3600","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",8,299018.975877177,4300566.44656156,299018.975877177,4300566.44656156,0.00468845211678999,"NO"
"8","9","2022-02-25T07:58:17.689Z","514.14","131.7","2","0","0","27","1","0.74","druid","2022-02-25","06:58:01","2022-02-25 06:58:01","0.84","-5.3151024","38.830784","10","0","463.11","d3a5779692a6","3624","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",9,299042.795976032,4300545.23019563,299042.795976032,4300545.23019563,0.00879965967417201,"NO"
"9","10","2022-02-25T07:58:18.968Z","531.44","49.1","2","0","0","3","1","0.82","druid","2022-02-25","07:57:35","2022-02-25 07:57:35","0.97","-5.3151372","38.830848","9","1.2","480.41","d3a5779692a6","3574","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",10,299039.954951395,4300552.40997305,299039.954951395,4300552.40997305,0.00215984315874728,"NO"
"10","11","2022-02-25T12:58:08.855Z","525.71","328.9","2","0","0","3","1","0.85","druid","2022-02-25","08:57:35","2022-02-25 08:57:35","0.94","-5.315134","38.8308192","8","0.3","474.68","d3a5779692a6","3600","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",11,299040.151723314,4300549.2064936,299040.151723314,4300549.2064936,0.000891284937498703,"NO"
"11","12","2022-02-25T12:58:08.856Z","514.55","0","2","0","0","29","1","0.82","druid","2022-02-25","09:58:01","2022-02-25 09:58:01","0.91","-5.3151012","38.8308416","9","0","463.52","d3a5779692a6","3626","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",12,299043.062207526,4300551.62042924,299043.062207526,4300551.62042924,0.00104253380359365,"NO"
"12","13","2022-02-25T12:58:08.857Z","516.94","173.8","2","0","0","2","1","0.79","druid","2022-02-25","10:57:33","2022-02-25 10:57:33","0.88","-5.3151116","38.8309088","9","0.4","465.91","d3a5779692a6","3572","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",13,299042.348420303,4300559.10166972,299042.348420303,4300559.10166972,0.00210333463559547,"NO"
"13","14","2022-02-25T12:58:08.858Z","515.42","264.9","2","0","0","3","2","0.73","druid","2022-02-25","11:17:34","2022-02-25 11:17:34","0.93","-5.3151644","38.8309248","9","0.1","464.39","d3a5779692a6","1201","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",14,299037.809722948,4300560.99366503,299037.809722948,4300560.99366503,0.00409089630667317,"NO"
"14","15","2022-02-25T12:58:08.859Z","524.94","38.3","2","0","0","4","2","0.76","druid","2022-02-25","11:27:36","2022-02-25 11:27:36","0.85","-5.3151328","38.83088","9","0.2","473.91","d3a5779692a6","602","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",15,299040.426960343,4300555.95188693,299040.426960343,4300555.95188693,0.00942059911918013,"NO"
"15","16","2022-02-25T12:58:08.86Z","488.56","108.9","2","0","0","5","2","0.8","druid","2022-02-25","11:37:36","2022-02-25 11:37:36","0.77","-5.315062","38.8308288","9","0.1","437.53","d3a5779692a6","600","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",16,299046.429259426,4300550.1135253,299046.429259426,4300550.1135253,0.013932469101798,"NO"
"16","17","2022-02-25T12:58:08.861Z","518.64","0","2","0","0","3","2","0.73","druid","2022-02-25","11:47:40","2022-02-25 11:47:40","0.76","-5.3151132","38.8308672","10","0","467.61","d3a5779692a6","604","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",17,299042.092478636,4300554.48811478,299042.092478636,4300554.48811478,0.0101816975348745,"NO"
"17","18","2022-02-25T12:58:08.862Z","517.01","123.9","2","0","0","3","1 2","0.73","druid","2022-02-25","11:57:40","2022-02-25 11:57:40","0.82","-5.3151652","38.8309312","9","0.2","465.97","d3a5779692a6","600","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",18,299037.758279512,4300561.70574501,299037.758279512,4300561.70574501,0.0140083102926819,"NO"
"18","19","2022-02-25T12:58:08.863Z","512.98","0","2","0","0","3","2","0.75","druid","2022-02-25","11:59:40","2022-02-25 11:59:40","1.04","-5.3150792","38.8308672","8","0.1","461.94","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",19,299045.044114508,4300554.41329244,299045.044114508,4300554.41329244,0.0851934467306588,"NO"
"19","20","2022-02-25T12:58:08.864Z","517.59","137.7","2","0","0","2","2","0.77","druid","2022-02-25","12:01:40","2022-02-25 12:01:40","0.85","-5.3150024","38.8307616","8","0.5","466.56","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",20,299051.414249052,4300542.52401647,299051.414249052,4300542.52401647,0.111473327088941,"NO"
"20","21","2022-02-25T12:58:08.865Z","515.75","0","2","0","0","6","2","0.77","druid","2022-02-25","12:03:42","2022-02-25 12:03:42","0.78","-5.3152076","38.8309792","9","0.1","464.71","d3a5779692a6","122","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",21,299034.212472498,4300567.12645208,299034.212472498,4300567.12645208,0.244062407473678,"NO"
"21","22","2022-02-25T12:58:08.866Z","511.43","0","2","0","0","3","2","0.77","druid","2022-02-25","12:05:39","2022-02-25 12:05:39","0.87","-5.3150204","38.8308064","8","0.1","460.4","d3a5779692a6","117","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",22,299049.977655065,4300547.53586238,299049.977655065,4300547.53586238,0.213103526620486,"NO"
"22","23","2022-02-25T12:58:08.867Z","513.03","0","2","0","0","5","2","0.72","druid","2022-02-25","12:07:42","2022-02-25 12:07:42","0.78","-5.3150836","38.8308832","9","0","462","d3a5779692a6","123","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",23,299044.707153373,4300556.19877373,299044.707153373,4300556.19877373,0.0817760311524216,"NO"
"23","24","2022-02-25T12:58:08.868Z","515.84","327.4","2","0","0","7","2","0.76","druid","2022-02-25","12:09:44","2022-02-25 12:09:44","0.78","-5.3151436","38.830944","9","0.1","464.81","d3a5779692a6","122","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",24,299039.669447954,4300563.07884839,299039.669447954,4300563.07884839,0.069327193188886,"NO"
"24","25","2022-02-25T12:58:08.869Z","515.15","174.3","2","0","0","6","2","0.75","druid","2022-02-25","12:11:43","2022-02-25 12:11:43","0.79","-5.3152272","38.8310112","9","0.1","464.11","d3a5779692a6","119","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",25,299032.600980241,4300570.7211843,299032.600980241,4300570.7211843,0.0867501737405399,"NO"
"25","26","2022-02-25T12:58:11.256Z","452.44","165.5","2","0","0","12","2","0.74","druid","2022-02-25","12:13:48","2022-02-25 12:13:48","0.78","-5.3153076","38.8315968","9","0","401.41","d3a5779692a6","125","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",26,299027.268977425,4300635.89236014,299027.268977425,4300635.89236014,0.518959776890049,"NO"
"26","27","2022-02-25T12:58:11.257Z","452.85","157.2","2","0","0","12","2","0.76","druid","2022-02-25","12:15:49","2022-02-25 12:15:49","0.88","-5.3152896","38.8315808","8","0.2","401.81","d3a5779692a6","121","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",27,299028.786572262,4300634.07694593,299028.786572262,4300634.07694593,0.0193949440907424,"NO"
"27","28","2022-02-25T12:58:11.258Z","506.33","331.9","2","0","0","23","2","0.75","druid","2022-02-25","12:18:01","2022-02-25 12:18:01","1.08","-5.3151112","38.8309088","8","0","455.3","d3a5779692a6","132","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",28,299042.383145411,4300559.10078945,299042.383145411,4300559.10078945,0.572924971929472,"NO"
"28","29","2022-02-25T12:58:11.259Z","506.43","0","2","0","0","2","2","0.75","druid","2022-02-25","12:19:39","2022-02-25 12:19:39","1.07","-5.3151292","38.8308128","8","0.2","455.39","d3a5779692a6","98","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",29,299040.550418691,4300548.48561091,299040.550418691,4300548.48561091,0.108810386936441,"NO"
"29","30","2022-02-25T12:58:11.26Z","506.34","24.5","2","0","0","2","2","0.75","druid","2022-02-25","12:21:38","2022-02-25 12:21:38","1.06","-5.315138","38.8308512","8","1.4","455.31","d3a5779692a6","119","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",30,299039.894504381,4300552.7668933,299039.894504381,4300552.7668933,0.0360936306487352,"NO"
"30","31","2022-02-25T12:58:11.261Z","506.1","150","2","0","0","3","2","0.75","druid","2022-02-25","12:23:39","2022-02-25 12:23:39","1.05","-5.3151072","38.8308768","8","2.3","455.07","d3a5779692a6","121","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",31,299042.640364992,4300555.54038983,299042.640364992,4300555.54038983,0.0319903589264878,"NO"
"31","32","2022-02-25T12:58:11.262Z","516.03","359.3","2","0","0","3","2","0.8","druid","2022-02-25","12:25:39","2022-02-25 12:25:39","0.98","-5.315112","38.8309184","8","1.4","465","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",32,299042.340704712,4300560.16802907,299042.340704712,4300560.16802907,0.0383250517131633,"NO"
"32","33","2022-02-25T12:58:11.262Z","496.67","0","2","0","0","3","2","0.81","druid","2022-02-25","12:27:39","2022-02-25 12:27:39","0.98","-5.3151116","38.830912","8","0.1","445.63","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",33,299042.357423473,4300559.45682941,299042.357423473,4300559.45682941,0.00587930696426142,"NO"
"33","34","2022-02-25T12:58:11.263Z","505.08","312.6","2","0","0","3","2","0.81","druid","2022-02-25","12:29:39","2022-02-25 12:29:39","0.98","-5.3151132","38.8308768","8","0.2","454.05","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",34,299042.119488142,4300555.55359386,299042.119488142,4300555.55359386,0.0323180241230098,"NO"
"34","35","2022-02-25T12:58:11.264Z","503.17","15.6","2","0","0","3","2","0.82","druid","2022-02-25","12:31:39","2022-02-25 12:31:39","0.99","-5.3151048","38.830912","8","0.5","452.14","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",35,299042.947750278,4300559.44186486,299042.947750278,4300559.44186486,0.0328554439486142,"NO"
"35","36","2022-02-25T12:58:11.265Z","510.09","0","2","0","0","3","2","0.82","druid","2022-02-25","12:33:40","2022-02-25 12:33:40","0.99","-5.315094","38.8308704","8","0.2","459.06","d3a5779692a6","121","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",36,299043.768287871,4300554.80102172,299043.768287871,4300554.80102172,0.0386297022539859,"NO"
"36","37","2022-02-25T12:58:11.266Z","511.28","17","2","0","0","2","2","0.83","druid","2022-02-25","12:35:40","2022-02-25 12:35:40","0.99","-5.3151284","38.8308384","8","0.3","460.25","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",37,299040.691894752,4300551.32512789,299040.691894752,4300551.32512789,0.0383617389504535,"NO"
"37","38","2022-02-25T12:58:11.267Z","505.54","200.5","2","0","0","3","2","0.83","druid","2022-02-25","12:37:39","2022-02-25 12:37:39","1","-5.315094","38.8309216","8","0.4","454.51","d3a5779692a6","119","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",38,299043.912337452,4300560.48357681,299043.912337452,4300560.48357681,0.080901362172747,"NO"
"38","39","2022-02-25T12:58:11.268Z","502.67","224.2","2","0","0","2","2","0.85","druid","2022-02-25","12:39:38","2022-02-25 12:39:38","1.47","-5.315132","38.8308512","7","1.6","451.63","d3a5779692a6","119","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",39,299040.41538142,4300552.75368914,299040.41538142,4300552.75368914,0.0707007901493691,"NO"
"39","40","2022-02-25T12:58:11.268Z","504.13","0","2","0","0","3","2","0.84","druid","2022-02-25","12:41:39","2022-02-25 12:41:39","1","-5.3151596","38.8308416","8","0.1","453.1","d3a5779692a6","121","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",40,299037.992337005,4300551.74894948,299037.992337005,4300551.74894948,0.021500807794383,"NO"
"40","41","2022-02-25T12:58:11.269Z","505.61","239.4","2","0","0","3","2","0.85","druid","2022-02-25","12:43:39","2022-02-25 12:43:39","1","-5.315132","38.8308256","8","0.4","454.58","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",41,299040.343355536,4300549.9124116,299040.343355536,4300549.9124116,0.0246554835950818,"NO"
"41","42","2022-02-25T12:58:13.479Z","514.51","169.1","2","0","0","3","2","0.85","druid","2022-02-25","12:45:39","2022-02-25 12:45:39","1.01","-5.315116","38.8308416","8","0","463.48","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",42,299041.777377329,4300551.65299913,299041.777377329,4300551.65299913,0.018638266484419,"NO"
"42","43","2022-02-25T12:58:13.48Z","495.61","0","2","0","0","3","2","0.85","druid","2022-02-25","12:47:39","2022-02-25 12:47:39","1.01","-5.3150944","38.8308096","8","0.1","444.57","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",43,299043.562504047,4300548.05386787,299043.562504047,4300548.05386787,0.0332025996471128,"NO"
"43","44","2022-02-25T12:58:13.481Z","503.42","199.1","2","0","0","2","2","0.86","druid","2022-02-25","12:49:40","2022-02-25 12:49:40","1.01","-5.3151212","38.830848","8","0.3","452.39","d3a5779692a6","121","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",44,299041.343956892,4300552.37476204,299041.343956892,4300552.37476204,0.0398128498486276,"NO"
"44","45","2022-02-25T12:58:13.483Z","498.85","47.6","2","0","0","3","2","0.86","druid","2022-02-25","12:51:39","2022-02-25 12:51:39","1.01","-5.3151532","38.8308832","8","0.3","447.82","d3a5779692a6","119","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",45,299038.664982451,4300556.35194094,299038.664982451,4300556.35194094,0.0399607933384166,"NO"
"45","46","2022-02-25T12:58:13.484Z","509.76","210.7","2","0","0","3","2","0.86","druid","2022-02-25","12:53:39","2022-02-25 12:53:39","1.02","-5.3151316","38.8308128","8","0.6","458.73","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",46,299040.342067764,4300548.49089256,299040.342067764,4300548.49089256,0.0664293679266115,"NO"
"46","47","2022-02-25T12:58:13.485Z","499.38","221.1","2","0","0","3","2","0.86","druid","2022-02-25","12:55:39","2022-02-25 12:55:39","1.02","-5.3151472","38.8308064","8","2.3","448.34","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",47,299038.969780155,4300547.81490405,299038.969780155,4300547.81490405,0.0126425584123213,"NO"
"47","48","2022-02-25T12:58:13.486Z","497.77","183.5","2","0","0","3","1 2","0.86","druid","2022-02-25","12:57:39","2022-02-25 12:57:39","1.02","-5.3151528","38.8308192","8","0.2","446.73","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",48,299038.519641192,4300549.24786678,299038.519641192,4300549.24786678,0.0124132321169052,"NO"
"48","49","2022-02-25T14:58:08.205Z","508.41","204","2","0","0","3","2","0.86","druid","2022-02-25","12:59:39","2022-02-25 12:59:39","1.02","-5.3151232","38.8308864","8","1.8","457.37","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",49,299041.278369688,4300556.64107972,299041.278369688,4300556.64107972,0.0652160801634738,"NO"
"49","50","2022-02-25T14:58:08.206Z","513.44","0","2","0","0","3","2","0.87","druid","2022-02-25","13:07:40","2022-02-25 13:07:40","1.03","-5.3151048","38.8308096","8","0","462.41","d3a5779692a6","481","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",50,299042.659649992,4300548.07675473,299042.659649992,4300548.07675473,0.0179979220600084,"NO"
"50","51","2022-02-25T14:58:08.207Z","475.29","0","2","0","0","3","2","0.88","druid","2022-02-25","13:17:40","2022-02-25 13:17:40","1.26","-5.3151784","38.83104","7","0","424.26","d3a5779692a6","600","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",51,299036.918468439,4300573.81022451,299036.918468439,4300573.81022451,0.0438704269793516,"NO"
"51","52","2022-02-25T14:58:08.208Z","450.98","0","2","0","0","11","2","0.81","druid","2022-02-25","13:27:47","2022-02-25 13:27:47","1.06","-5.3153612","38.8311616","8","0","399.95","d3a5779692a6","607","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",52,299021.391281836,4300587.70860462,299021.391281836,4300587.70860462,0.0342744568644491,"NO"
"52","53","2022-02-25T14:58:08.209Z","506.12","70.5","2","0","0","13","2","0.88","druid","2022-02-25","13:31:49","2022-02-25 13:31:49","1.21","-5.315164","38.830912","7","0","455.09","d3a5779692a6","242","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",53,299037.808434545,4300559.57214595,299037.808434545,4300559.57214595,0.13405681941945,"NO"
"53","54","2022-02-25T14:58:08.21Z","488.4","20.7","2","0","0","12","2","0.81","druid","2022-02-25","13:33:49","2022-02-25 13:33:49","1.07","-5.31521","38.8309184","8","0","437.37","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",54,299033.833054396,4300560.38369958,299033.833054396,4300560.38369958,0.0335319990583537,"NO"
"54","55","2022-02-25T14:58:08.211Z","490.11","184.3","2","0","0","17","2","0.81","druid","2022-02-25","13:35:53","2022-02-25 13:35:53","1.07","-5.3151992","38.8308768","8","0.6","439.08","d3a5779692a6","124","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",55,299034.653586578,4300555.74285528,299034.653586578,4300555.74285528,0.0377025910113366,"NO"
"55","56","2022-02-25T14:58:08.212Z","502.14","0","2","0","0","15","2","0.81","druid","2022-02-25","13:37:51","2022-02-25 13:37:51","1.07","-5.3150692","38.830912","8","0","451.1","d3a5779692a6","118","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",56,299046.038284717,4300559.36352176,299046.038284717,4300559.36352176,0.10039135954808,"NO"
"56","57","2022-02-25T14:58:08.213Z","463.41","0","2","0","0","13","2","0.8","druid","2022-02-25","13:47:49","2022-02-25 13:47:49","0.89","-5.3151952","38.8309888","9","0","412.37","d3a5779692a6","598","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",57,299035.315960321,4300568.16464177,299035.315960321,4300568.16464177,0.0231583310917469,"NO"
"57","58","2022-02-25T14:58:08.214Z","475.75","187.3","2","0","0","12","1 2","0.8","druid","2022-02-25","13:57:49","2022-02-25 13:57:49","0.89","-5.315142","38.8309504","9","0.1","424.71","d3a5779692a6","600","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",58,299039.826354909,4300563.78564666,299039.826354909,4300563.78564666,0.0104599574168357,"NO"
"58","59","2022-02-25T14:58:08.215Z","517.43","313.8","2","0","0","13","2","0.83","druid","2022-02-25","14:07:49","2022-02-25 14:07:49","0.91","-5.3150212","38.83088","8","0.2","466.4","d3a5779692a6","600","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",59,299050.115269264,4300555.70629563,299050.115269264,4300555.70629563,0.0217669879853562,"NO"
"59","60","2022-02-25T14:58:08.216Z","513.07","19","2","0","0","25","2","0.82","druid","2022-02-25","14:18:01","2022-02-25 14:18:01","0.93","-5.3150348","38.8308896","9","0","462.04","d3a5779692a6","612","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",60,299048.961623737,4300556.80170275,299048.961623737,4300556.80170275,0.00259519326427024,"NO"
"60","61","2022-02-25T14:58:08.216Z","507.16","283.4","2","0","0","2","2","0.82","druid","2022-02-25","14:27:38","2022-02-25 14:27:38","0.92","-5.3150664","38.830896","9","0.3","456.13","d3a5779692a6","577","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",61,299046.236345494,4300557.58156153,299046.236345494,4300557.58156153,0.00490426335148862,"NO"
"61","62","2022-02-25T14:58:08.217Z","509.31","320","2","0","0","2","2","0.81","druid","2022-02-25","14:37:38","2022-02-25 14:37:38","0.92","-5.3150488","38.8308672","9","0.7","458.27","d3a5779692a6","600","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",62,299047.683224217,4300554.3463934,299047.683224217,4300554.3463934,0.0058967998408536,"NO"
"62","63","2022-02-25T14:58:08.218Z","511.44","150.5","2","0","0","1","2","0.8","druid","2022-02-25","14:43:38","2022-02-25 14:43:38","0.91","-5.3150436","38.8308192","9","1.2","460.4","d3a5779692a6","360","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",63,299047.999607494,4300549.00755492,299047.999607494,4300549.00755492,0.0148149717776192,"NO"
"63","64","2022-02-25T14:58:09.947Z","513.92","0","2","0","0","2","2","0.8","druid","2022-02-25","14:45:37","2022-02-25 14:45:37","0.91","-5.3149992","38.830864","9","0.2","462.89","d3a5779692a6","119","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",64,299051.980137307,4300553.88208454,299051.980137307,4300553.88208454,0.0524441876518199,"NO"
"64","65","2022-02-25T14:58:09.949Z","511.61","0","2","0","0","3","2","0.8","druid","2022-02-25","14:47:38","2022-02-25 14:47:38","0.91","-5.3150212","38.830864","9","0.1","460.57","d3a5779692a6","121","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",65,299050.070255211,4300553.93049719,299050.070255211,4300553.93049719,0.0156597999293437,"NO"
"65","66","2022-02-25T14:58:09.95Z","505.58","170.3","2","0","0","3","2","0.79","druid","2022-02-25","14:49:38","2022-02-25 14:49:38","0.91","-5.3150436","38.8308576","9","0.1","454.55","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",66,299048.107642189,4300553.26947117,299048.107642189,4300553.26947117,0.0171152321426863,"NO"
"66","67","2022-02-25T14:58:09.951Z","514.49","228.1","2","0","0","2","2","0.79","druid","2022-02-25","14:51:37","2022-02-25 14:51:37","0.91","-5.3150288","38.8308576","9","2.8","463.46","d3a5779692a6","119","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",67,299049.392472082,4300553.23690229,299049.392472082,4300553.23690229,0.0107103551512814,"NO"
"67","68","2022-02-25T14:58:09.952Z","513.28","216.5","2","0","0","2","2","0.78","druid","2022-02-25","14:53:37","2022-02-25 14:53:37","0.91","-5.3150492","38.830848","9","3.4","462.25","d3a5779692a6","120","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",68,299047.594481588,4300552.21631552,299047.594481588,4300552.21631552,0.0170863989814223,"NO"
"68","69","2022-02-25T14:58:09.953Z","501.15","0","2","0","0","3","2","0.73","druid","2022-02-25","14:55:38","2022-02-25 14:55:38","0.83","-5.3150944","38.8309216","10","0.1","450.11","d3a5779692a6","121","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",69,299043.87761235,4300560.48445707,299043.87761235,4300560.48445707,0.0743046606285908,"NO"
"69","70","2022-02-25T14:58:09.954Z","505.23","169.1","2","0","0","2","1 2","0.78","druid","2022-02-25","14:57:37","2022-02-25 14:57:37","0.9","-5.3149928","38.8308288","9","2.3","454.19","d3a5779692a6","119","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",70,299052.436709726,4300549.96124441,299052.436709726,4300549.96124441,0.113037651217736,"NO"
"70","71","2022-02-25T15:58:07.144Z","505.57","254.2","2","0","0","2","2","0.77","druid","2022-02-25","14:59:38","2022-02-25 14:59:38","0.9","-5.3150808","38.8309216","9","0","454.53","d3a5779692a6","121","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",71,299045.058265797,4300560.45452823,299045.058265797,4300560.45452823,0.10514525860506,"NO"
