"","X","id_datoGPS","id_emisor","Especie","Fecha_D.M.Y","Hora_H.M.S","Fecha_hora","Lat","Lon","KM.H","T_GPS","Bateria","Bat_2","temperatura","logger_type","year","month","day","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","device_id","speed_km_h","hdop","altitude","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"1","2","15984","GUE01","PTEALC","5/3/19","05:02:00","5-3-19 5:02","41,511733","0,725183","0","35","4,17","","0","pica","2019","03","05","2019-03-05","05:02:00","2019-03-05 05:02:00","0.725183","41.511733","PTS_GUE01","0","0","0","28560","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",2,810884.908875372,4602270.08052769,810884.908875372,4602270.08052769,NA,NA
"2","3","15985","GUE01","PTEALC","5/3/19","06:02:00","5-3-19 6:02","41,511733","0,725267","0,1","8","4,19","","0","pica","2019","03","05","2019-03-05","06:02:00","2019-03-05 06:02:00","0.725267","41.511733","PTS_GUE01","0,1","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",3,810891.920299327,4602270.38309196,810891.920299327,4602270.38309196,0.00194888897585084,"NO"
"3","4","15986","GUE01","PTEALC","5/3/19","07:02:00","5-3-19 7:02","41,5118","0,725133","0","30","4,16","","0","pica","2019","03","05","2019-03-05","07:02:00","2019-03-05 07:02:00","0.725133","41.5118","PTS_GUE01","0","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",4,810880.414348093,4602277.3406599,810880.414348093,4602277.3406599,0.00373396020008944,"NO"
"4","5","15987","GUE01","PTEALC","5/3/19","08:03:00","5-3-19 8:03","41,511867","0,725133","0","8","4,18","","0","pica","2019","03","05","2019-03-05","08:03:00","2019-03-05 08:03:00","0.725133","41.511867","PTS_GUE01","0","0","0","3660","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",5,810880.093286988,4602284.78088669,810880.093286988,4602284.78088669,0.00203418486650455,"NO"
"5","6","15988","GUE01","PTEALC","5/3/19","09:03:00","5-3-19 9:03","41,511683","0,725117","0","17","4,2","","0","pica","2019","03","05","2019-03-05","09:03:00","2019-03-05 09:03:00","0.725117","41.511683","PTS_GUE01","0","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",6,810879.639495676,4602264.29039545,810879.639495676,4602264.29039545,0.00569161776160956,"NO"
"6","7","15989","GUE01","PTEALC","5/3/19","10:04:00","5-3-19 10:04","41,51395","0,718217","0","21","4,23","","0","pica","2019","03","05","2019-03-05","10:04:00","2019-03-05 10:04:00","0.718217","41.51395","PTS_GUE01","0","0","0","3660","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",7,810292.857595725,4602491.2066903,810292.857595725,4602491.2066903,0.171846369782491,"NO"
"7","8","15990","GUE01","PTEALC","5/3/19","11:04:00","5-3-19 11:04","41,5139","0,718717","0,2","7","4,26","","0","pica","2019","03","05","2019-03-05","11:04:00","2019-03-05 11:04:00","0.718717","41.5139","PTS_GUE01","0,2","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",8,810334.829986177,4602487.45200264,810334.829986177,4602487.45200264,0.0117023037279843,"NO"
"8","9","15991","GUE01","PTEALC","5/3/19","12:04:00","5-3-19 12:04","41,5139","0,71875","0,2","16","4,3","","0","pica","2019","03","05","2019-03-05","12:04:00","2019-03-05 12:04:00","0.71875","41.5139","PTS_GUE01","0,2","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",9,810337.584379393,4602487.57066045,810337.584379393,4602487.57066045,0.00076560618975035,"NO"
"9","10","15992","GUE01","PTEALC","5/3/19","13:04:00","5-3-19 13:04","41,514067","0,718767","0,1","4","4,32","","0","pica","2019","03","05","2019-03-05","13:04:00","2019-03-05 13:04:00","0.718767","41.514067","PTS_GUE01","0,1","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",10,810338.204390573,4602506.17681826,810338.204390573,4602506.17681826,0.00516980983979303,"NO"
"10","11","15993","GUE01","PTEALC","5/3/19","14:06:00","5-3-19 14:06","41,514067","0,718683","0,2","4","4,32","","0","pica","2019","03","05","2019-03-05","14:06:00","2019-03-05 14:06:00","0.718683","41.514067","PTS_GUE01","0,2","0","0","3720","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",11,810331.193225955,4602505.87478069,810331.193225955,4602505.87478069,0.00188596275690449,"NO"
"11","12","15994","GUE01","PTEALC","5/3/19","15:06:00","5-3-19 15:06","41,5142","0,71855","4,2","4","4,32","","0","pica","2019","03","05","2019-03-05","15:06:00","2019-03-05 15:06:00","0.71855","41.5142","PTS_GUE01","4,2","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",12,810319.455986272,4602520.16596398,810319.455986272,4602520.16596398,0.00513559048917211,"NO"
"12","13","15995","GUE01","PTEALC","5/3/19","16:07:00","5-3-19 16:07","41,514017","0,71875","1,2","3","4,32","","0","pica","2019","03","05","2019-03-05","16:07:00","2019-03-05 16:07:00","0.71875","41.514017","PTS_GUE01","1,2","0","0","3660","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",13,810337.024660779,4602500.56328665,810337.024660779,4602500.56328665,0.00719023108281343,"NO"
"13","14","15996","GUE01","PTEALC","5/3/19","17:07:00","5-3-19 17:07","41,514167","0,718683","0,1","5","4,31","","0","pica","2019","03","05","2019-03-05","17:07:00","2019-03-05 17:07:00","0.718683","41.514167","PTS_GUE01","0,1","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",14,810330.714841122,4602516.97958948,810330.714841122,4602516.97958948,0.00488397050657036,"NO"
"14","15","15997","GUE01","PTEALC","5/3/19","18:07:00","5-3-19 18:07","41,514083","0,718517","1,2","4","4,3","","0","pica","2019","03","05","2019-03-05","18:07:00","2019-03-05 18:07:00","0.718517","41.514083","PTS_GUE01","1,2","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",15,810317.261291367,4602507.0546864,810317.261291367,4602507.0546864,0.00464268381120502,"NO"
"15","16","15998","GUE01","PTEALC","5/3/19","19:07:00","5-3-19 19:07","41,514133","0,718133","0,3","7","4,3","","0","pica","2019","03","05","2019-03-05","19:07:00","2019-03-05 19:07:00","0.718133","41.514133","PTS_GUE01","0,3","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",16,810284.971105931,4602511.2264961,810284.971105931,4602511.2264961,0.00904153394134934,"NO"
"16","17","15999","GUE01","PTEALC","6/3/19","05:01:00","6-3-19 5:01","41,514533","0,717883","0,5","5","4,28","","0","pica","2019","03","06","2019-03-06","05:01:00","2019-03-06 05:01:00","0.717883","41.514533","PTS_GUE01","0,5","0","0","35640","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",17,810262.191433441,4602554.74697966,810262.191433441,4602554.74697966,0.001378237041211,"NO"
"17","18","16000","GUE01","PTEALC","6/3/19","06:01:00","6-3-19 6:01","41,5146","0,717767","0,6","6","4,28","","0","pica","2019","03","06","2019-03-06","06:01:00","2019-03-06 06:01:00","0.717767","41.5146","PTS_GUE01","0,6","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",18,810252.188978463,4602561.77020191,810252.188978463,4602561.77020191,0.00339402848983703,"NO"
"18","19","16001","GUE01","PTEALC","6/3/19","07:01:00","6-3-19 7:01","41,5146","0,717767","0,1","5","4,28","","0","pica","2019","03","06","2019-03-06","07:01:00","2019-03-06 07:01:00","0.717767","41.5146","PTS_GUE01","0,1","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",19,810252.188978463,4602561.77020191,810252.188978463,4602561.77020191,0,"NO"
"19","20","16002","GUE01","PTEALC","6/3/19","08:02:00","6-3-19 8:02","41,514533","0,719417","0","8","4,29","","0","pica","2019","03","06","2019-03-06","08:02:00","2019-03-06 08:02:00","0.719417","41.514533","PTS_GUE01","0","0","0","3660","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",20,810390.227729961,4602560.26266037,810390.227729961,4602560.26266037,0.0377074524159027,"NO"
"20","21","16003","GUE01","PTEALC","6/3/19","09:02:00","6-3-19 9:02","41,513167","0,722167","0,7","6","4,29","","0","pica","2019","03","06","2019-03-06","09:02:00","2019-03-06 09:02:00","0.722167","41.513167","PTS_GUE01","0,7","0","0","3600","0","7208","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE01",21,810626.299161251,4602418.46457251,810626.299161251,4602418.46457251,0.0764743484573748,"NO"
