"","X","Transmitting.time","Altitude..Ellipsoid.","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.Source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"1","2","2022-09-29T14:00:13.391Z","773.16","0","2","0","0","21","[1]","0.81","druid","2022-09-29","00:59:46","2022-09-29 00:59:46","0.96","-3.7948644","37.1189344","8","0.1","724.12","f84ef104681e","1814","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",2,429385.777784563,4108361.88318904,429385.777784563,4108361.88318904,NA,NA
"2","3","2022-09-29T14:00:13.392Z","791.87","0","2","0","0","3","[1]","0.76","druid","2022-09-29","01:29:28","2022-09-29 01:29:28","0.95","-3.7948576","37.1188736","8","0","742.82","f84ef104681e","1782","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",3,429386.325421626,4108355.13307591,429386.325421626,4108355.13307591,0.00379825665389409,"NO"
"3","4","2022-09-29T14:00:13.393Z","788.78","0","2","0","0","21","[1]","0.78","druid","2022-09-29","01:59:47","2022-09-29 01:59:47","1.08","-3.7948928","37.1188672","7","0","739.73","f84ef104681e","1819","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",4,429383.192319162,4108354.44925255,429383.192319162,4108354.44925255,0.00176201050707074,"NO"
"4","5","2022-09-29T14:00:13.394Z","782.84","0","2","0","0","15","[1]","0.89","druid","2022-09-29","02:29:41","2022-09-29 02:29:41","1.26","-3.794726","37.1189312","6","0.1","733.8","f84ef104681e","1794","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",5,429398.070218556,4108361.42525178,429398.070218556,4108361.42525178,0.00915441640566104,"NO"
"5","6","2022-09-29T14:00:13.395Z","786.86","119.7","2","0","0","24","[1]","0.95","druid","2022-09-29","02:59:50","2022-09-29 02:59:50","1.61","-3.79396","37.1120352","4","0.1","737.83","f84ef104681e","1809","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",6,429459.723956991,4107595.82508028,429459.723956991,4107595.82508028,0.424352842960444,"NO"
"6","7","2022-09-29T14:00:13.396Z","793.99","0","2","0","0","17","[1]","0.79","druid","2022-09-29","03:29:41","2022-09-29 03:29:41","0.95","-3.7937192","37.1121024","8","0.1","744.96","f84ef104681e","1791","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",7,429481.180799346,4107603.10126605,429481.180799346,4107603.10126605,0.0126434067337565,"NO"
"7","8","2022-09-29T14:00:13.397Z","812.21","0","2","0","0","23","[1]","0.88","druid","2022-09-29","03:59:47","2022-09-29 03:59:47","1.02","-3.7938196","37.1120576","7","0","763.18","f84ef104681e","1806","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",8,429472.218948435,4107598.2058019,429472.218948435,4107598.2058019,0.0056512311159647,"NO"
"8","9","2022-09-29T14:00:13.398Z","751.29","0","2","0","0","16","[1]","0.8","druid","2022-09-29","04:29:41","2022-09-29 04:29:41","0.71","-3.7941564","37.1120992","11","0.1","702.26","f84ef104681e","1794","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",9,429442.333652455,4107603.07105618,429442.333652455,4107603.07105618,0.0168683744061382,"NO"
"9","10","2022-09-29T14:00:13.399Z","772.86","0","2","0","0","16","[1]","0.83","druid","2022-09-29","04:59:40","2022-09-29 04:59:40","0.92","-3.7942356","37.11192","9","0.2","723.83","f84ef104681e","1799","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",10,429435.130632577,4107583.24977312,429435.130632577,4107583.24977312,0.0117163855608738,"NO"
"10","11","2022-09-29T14:00:13.4Z","754.55","232.1","2","0","0","4","[1]","0.96","druid","2022-09-29","05:29:34","2022-09-29 05:29:34","1.23","-3.7941684","37.111888","6","0.1","705.52","f84ef104681e","1794","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",11,429441.071515058,4107579.64980942,429441.071515058,4107579.64980942,0.0038699148724341,"NO"
"11","12","2022-09-29T14:00:13.401Z","801.05","0","2","0","0","13","[1]","0.87","druid","2022-09-29","05:59:43","2022-09-29 05:59:43","1.33","-3.7940692","37.1116288","4","0","752.02","f84ef104681e","1809","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",12,429449.644751235,4107550.82089788,429449.644751235,4107550.82089788,0.0166169488018783,"NO"
"12","13","2022-09-29T14:00:13.402Z","810.59","0","2","0","0","14","[1]","0.9","druid","2022-09-29","06:29:43","2022-09-29 06:29:43","1.32","-3.7940736","37.1116448","4","0","761.56","f84ef104681e","1800","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",13,429449.268663295,4107552.59917945,429449.268663295,4107552.59917945,0.00100922591792616,"NO"
"13","14","2022-09-29T14:00:13.403Z","834.11","0","2","0","0","14","[1]","0.93","druid","2022-09-29","06:59:43","2022-09-29 06:59:43","1.4","-3.7940216","37.111776","4","0.1","785.07","f84ef104681e","1800","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",14,429454.010480282,4107567.11564492,429454.010480282,4107567.11564492,0.00847934470663322,"NO"
"14","15","2022-09-29T14:00:13.403Z","827.69","125.3","2","0","0","6","[1]","0.92","druid","2022-09-29","07:29:34","2022-09-29 07:29:34","1.51","-3.7940836","37.1117472","5","0.7","778.66","f84ef104681e","1791","0","4056","NO_burst_boost","M","BBS","AD","SUR","AND","BBS_8856b",15,429448.475184765,4107563.96668855,429448.475184765,4107563.96668855,0.00355374662941409,"NO"
